budget_ms,transition,from_mode,to_mode,from_selected_p95_ms,to_selected_p95_ms,from_ray_count,to_ray_count,ray_count_gain,from_safe_stop_rate,to_safe_stop_rate,safe_stop_rate_gain,ci_low,ci_high,n_paired
0.5,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.3120815999999999,0.3660729,9,257,248,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
0.5,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.3660729,0.19651424999999997,257,361,104,1.0,1.0,0.0,0.0,0.0,1440
1.0,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.9332374999999998,0.52415,17,361,344,0.6118055555555556,1.0,0.38819444444444445,0.3638888888888889,0.4125,1440
1.0,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.52415,0.19651424999999997,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
2.0,true-brute_to_mesh-bvh,true-brute,mesh-bvh,1.5523038499999995,0.52415,33,361,328,0.9840277777777777,1.0,0.01597222222222222,0.010399305555555556,0.022916666666666665,1440
2.0,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.52415,0.19651424999999997,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
5.0,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.863933649999998,0.52415,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
5.0,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.52415,0.19651424999999997,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
8.0,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.863933649999998,0.52415,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
8.0,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.52415,0.19651424999999997,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
23.41249922,true-brute_to_mesh-bvh,true-brute,mesh-bvh,21.284090199999998,0.52415,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
23.41249922,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.52415,0.19651424999999997,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
