complexity,budget_ms,comparison,left_mode,left_ray_count,right_mode,right_ray_count,metric,metric_label,difference,ci_low,ci_high,n_paired
1x,0.5,budget_1x_0.5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,9,safe_stop_rate,Safe-stop rate,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,0.5,budget_1x_0.5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,9,detection_range,Detection range,2.27005322565721,2.0986481181441463,2.4421134552721386,1067
1x,0.5,budget_1x_0.5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,9,unbraked_ttc,Unbraked TTC,0.7805998125585749,0.7230443611371441,0.8389589190877844,1067
1x,0.5,budget_1x_0.5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,9,stopping_margin,Stopping margin,2.3417994376757245,2.1691330834114324,2.5168767572633532,1067
1x,0.5,budget_1x_0.5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,9,collision_speed,Collision speed,-1.7831574605768472,-1.846353301081578,-1.7160171579279715,1440
1x,0.5,budget_1x_0.5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,9,undetected_collision_rate,Undetected-collision rate,-0.2590277777777778,-0.28265625,-0.2361111111111111,1440
1x,0.5,budget_1x_0.5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
1x,0.5,budget_1x_0.5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,detection_range,Detection range,0.0,0.0,0.0,1440
1x,0.5,budget_1x_0.5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
1x,0.5,budget_1x_0.5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
1x,0.5,budget_1x_0.5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,collision_speed,Collision speed,0.0,0.0,0.0,1440
1x,0.5,budget_1x_0.5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,0.5,budget_1x_0.5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,9,safe_stop_rate,Safe-stop rate,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,0.5,budget_1x_0.5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,9,detection_range,Detection range,2.27005322565721,2.0986481181441463,2.4421134552721386,1067
1x,0.5,budget_1x_0.5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,9,unbraked_ttc,Unbraked TTC,0.7805998125585749,0.7230443611371441,0.8389589190877844,1067
