complexity,triangles_per_mesh,mode,budget_ms,ray_count,selected_p95_ms,safe_stop_rate,ray_count_change_vs_1x,safe_stop_rate_change_vs_1x
1x,120,mesh-bvh,0.5,361,0.39406009999999986,1.0,0,0.0
1x,120,mesh-bvh,1.0,361,0.39406009999999986,1.0,0,0.0
1x,120,mesh-bvh,2.0,361,0.39406009999999986,1.0,0,0.0
1x,120,mesh-bvh,5.0,361,0.39406009999999986,1.0,0,0.0
1x,120,mesh-bvh,8.0,361,0.39406009999999986,1.0,0,0.0
1x,120,mesh-bvh,11.910703750000001,361,0.39406009999999986,1.0,0,0.0
1x,120,scene-bvh,0.5,361,0.1542173,1.0,0,0.0
1x,120,scene-bvh,1.0,361,0.1542173,1.0,0,0.0
1x,120,scene-bvh,2.0,361,0.1542173,1.0,0,0.0
1x,120,scene-bvh,5.0,361,0.1542173,1.0,0,0.0
1x,120,scene-bvh,8.0,361,0.1542173,1.0,0,0.0
1x,120,scene-bvh,11.910703750000001,361,0.1542173,1.0,0,0.0
1x,120,true-brute,0.5,9,0.3259125,0.34097222222222223,0,0.0
1x,120,true-brute,1.0,17,0.56846635,0.6118055555555556,0,0.0
1x,120,true-brute,2.0,17,0.56846635,0.6118055555555556,0,0.0
1x,120,true-brute,5.0,129,4.8227309499999995,1.0,0,0.0
1x,120,true-brute,8.0,129,4.8227309499999995,1.0,0,0.0
1x,120,true-brute,11.910703750000001,361,10.8279125,1.0,0,0.0
4x,480,mesh-bvh,0.5,361,0.42663544999999997,1.0,0,0.0
4x,480,mesh-bvh,1.0,361,0.42663544999999997,1.0,0,0.0
4x,480,mesh-bvh,2.0,361,0.42663544999999997,1.0,0,0.0
4x,480,mesh-bvh,5.0,361,0.42663544999999997,1.0,0,0.0
4x,480,mesh-bvh,8.0,361,0.42663544999999997,1.0,0,0.0
4x,480,mesh-bvh,48.420486839999995,361,0.42663544999999997,1.0,,
4x,480,scene-bvh,0.5,361,0.16782709999999998,1.0,0,0.0
4x,480,scene-bvh,1.0,361,0.16782709999999998,1.0,0,0.0
4x,480,scene-bvh,2.0,361,0.16782709999999998,1.0,0,0.0
4x,480,scene-bvh,5.0,361,0.16782709999999998,1.0,0,0.0
4x,480,scene-bvh,8.0,361,0.16782709999999998,1.0,0,0.0
4x,480,scene-bvh,48.420486839999995,361,0.16782709999999998,1.0,,
4x,480,true-brute,0.5,0,4.2e-05,0.0,-9,-0.34097222222222223
4x,480,true-brute,1.0,5,0.6605354,0.34097222222222223,-12,-0.27083333333333337
4x,480,true-brute,2.0,9,1.07804615,0.34097222222222223,-8,-0.27083333333333337
4x,480,true-brute,5.0,33,3.9951211499999997,0.9840277777777777,-96,-0.015972222222222276
4x,480,true-brute,8.0,33,3.9951211499999997,0.9840277777777777,-96,-0.015972222222222276
4x,480,true-brute,48.420486839999995,361,44.01862439999999,1.0,,
16x,1920,mesh-bvh,0.5,257,0.3591291499999999,1.0,-104,0.0
16x,1920,mesh-bvh,1.0,361,0.5080354,1.0,0,0.0
16x,1920,mesh-bvh,2.0,361,0.5080354,1.0,0,0.0
16x,1920,mesh-bvh,5.0,361,0.5080354,1.0,0,0.0
16x,1920,mesh-bvh,8.0,361,0.5080354,1.0,0,0.0
16x,1920,mesh-bvh,204.42865014,361,0.5080354,1.0,,
16x,1920,scene-bvh,0.5,361,0.19985595,1.0,0,0.0
16x,1920,scene-bvh,1.0,361,0.19985595,1.0,0,0.0
16x,1920,scene-bvh,2.0,361,0.19985595,1.0,0,0.0
16x,1920,scene-bvh,5.0,361,0.19985595,1.0,0,0.0
16x,1920,scene-bvh,8.0,361,0.19985595,1.0,0,0.0
16x,1920,scene-bvh,204.42865014,361,0.19985595,1.0,,
16x,1920,true-brute,0.5,0,4.2e-05,0.0,-9,-0.34097222222222223
16x,1920,true-brute,1.0,0,4.2e-05,0.0,-17,-0.6118055555555556
16x,1920,true-brute,2.0,0,4.2e-05,0.0,-17,-0.6118055555555556
16x,1920,true-brute,5.0,5,3.6419249999999996,0.34097222222222223,-124,-0.6590277777777778
16x,1920,true-brute,8.0,9,7.745939899999984,0.34097222222222223,-120,-0.6590277777777778
16x,1920,true-brute,204.42865014,361,185.8442274,1.0,,
