comparison,left_mode,left_ray_count,right_mode,right_ray_count,metric,metric_label,difference,ci_low,ci_high,n_paired
same_ray_0,scene-bvh,0,true-brute,0,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_0,scene-bvh,0,true-brute,0,detection_range,Detection range,,,,0
same_ray_0,scene-bvh,0,true-brute,0,unbraked_ttc,Unbraked TTC,,,,0
same_ray_0,scene-bvh,0,true-brute,0,stopping_margin,Stopping margin,,,,0
same_ray_0,scene-bvh,0,true-brute,0,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_0,scene-bvh,0,true-brute,0,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
same_ray_5,scene-bvh,5,true-brute,5,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_5,scene-bvh,5,true-brute,5,detection_range,Detection range,0.0,0.0,0.0,491
same_ray_5,scene-bvh,5,true-brute,5,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,491
same_ray_5,scene-bvh,5,true-brute,5,stopping_margin,Stopping margin,0.0,0.0,0.0,491
same_ray_5,scene-bvh,5,true-brute,5,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_5,scene-bvh,5,true-brute,5,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
same_ray_9,scene-bvh,9,true-brute,9,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_9,scene-bvh,9,true-brute,9,detection_range,Detection range,0.0,0.0,0.0,1067
same_ray_9,scene-bvh,9,true-brute,9,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1067
same_ray_9,scene-bvh,9,true-brute,9,stopping_margin,Stopping margin,0.0,0.0,0.0,1067
same_ray_9,scene-bvh,9,true-brute,9,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_9,scene-bvh,9,true-brute,9,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
same_ray_17,scene-bvh,17,true-brute,17,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_17,scene-bvh,17,true-brute,17,detection_range,Detection range,0.0,0.0,0.0,1440
same_ray_17,scene-bvh,17,true-brute,17,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
same_ray_17,scene-bvh,17,true-brute,17,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
same_ray_17,scene-bvh,17,true-brute,17,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_17,scene-bvh,17,true-brute,17,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
same_ray_33,scene-bvh,33,true-brute,33,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_33,scene-bvh,33,true-brute,33,detection_range,Detection range,0.0,0.0,0.0,1440
same_ray_33,scene-bvh,33,true-brute,33,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
same_ray_33,scene-bvh,33,true-brute,33,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
same_ray_33,scene-bvh,33,true-brute,33,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_33,scene-bvh,33,true-brute,33,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
same_ray_65,scene-bvh,65,true-brute,65,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_65,scene-bvh,65,true-brute,65,detection_range,Detection range,0.0,0.0,0.0,1440
same_ray_65,scene-bvh,65,true-brute,65,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
same_ray_65,scene-bvh,65,true-brute,65,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
same_ray_65,scene-bvh,65,true-brute,65,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_65,scene-bvh,65,true-brute,65,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
same_ray_129,scene-bvh,129,true-brute,129,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_129,scene-bvh,129,true-brute,129,detection_range,Detection range,0.0,0.0,0.0,1440
same_ray_129,scene-bvh,129,true-brute,129,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
same_ray_129,scene-bvh,129,true-brute,129,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
same_ray_129,scene-bvh,129,true-brute,129,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_129,scene-bvh,129,true-brute,129,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
same_ray_257,scene-bvh,257,true-brute,257,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_257,scene-bvh,257,true-brute,257,detection_range,Detection range,0.0,0.0,0.0,1440
same_ray_257,scene-bvh,257,true-brute,257,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
same_ray_257,scene-bvh,257,true-brute,257,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
same_ray_257,scene-bvh,257,true-brute,257,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_257,scene-bvh,257,true-brute,257,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
same_ray_361,scene-bvh,361,true-brute,361,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
same_ray_361,scene-bvh,361,true-brute,361,detection_range,Detection range,0.0,0.0,0.0,1440
same_ray_361,scene-bvh,361,true-brute,361,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
same_ray_361,scene-bvh,361,true-brute,361,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
same_ray_361,scene-bvh,361,true-brute,361,collision_speed,Collision speed,0.0,0.0,0.0,1440
same_ray_361,scene-bvh,361,true-brute,361,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
