mode,ray_count,metric,metric_label,estimate,n_scenarios,n_measured
scene-bvh,0,safe_stop_rate,Safe-stop rate,0.0,1440,1440
scene-bvh,0,detection_range,Detection range,,1440,0
scene-bvh,0,unbraked_ttc,Unbraked TTC,,1440,0
scene-bvh,0,stopping_margin,Stopping margin,,1440,0
scene-bvh,0,collision_speed,Collision speed,3.0,1440,1440
scene-bvh,0,undetected_collision_rate,Undetected-collision rate,1.0,1440,1440
scene-bvh,5,safe_stop_rate,Safe-stop rate,0.34097222222222223,1440,1440
scene-bvh,5,detection_range,Detection range,5.364784591138192,1440,491
scene-bvh,5,unbraked_ttc,Unbraked TTC,1.580448065173116,1440,491
scene-bvh,5,stopping_margin,Stopping margin,3.616344195519348,1440,491
scene-bvh,5,collision_speed,Collision speed,1.9770833333333333,1440,1440
scene-bvh,5,undetected_collision_rate,Undetected-collision rate,0.6590277777777778,1440,1440
scene-bvh,9,safe_stop_rate,Safe-stop rate,0.34097222222222223,1440,1440
scene-bvh,9,detection_range,Detection range,3.038809897178693,1440,1067
scene-bvh,9,unbraked_ttc,Unbraked TTC,0.7864104967197756,1440,1067
scene-bvh,9,stopping_margin,Stopping margin,1.234231490159327,1440,1067
scene-bvh,9,collision_speed,Collision speed,1.7831574605768472,1440,1440
scene-bvh,9,undetected_collision_rate,Undetected-collision rate,0.2590277777777778,1440,1440
scene-bvh,17,safe_stop_rate,Safe-stop rate,0.6118055555555556,1440,1440
scene-bvh,17,detection_range,Detection range,2.9852068506635376,1440,1440
scene-bvh,17,unbraked_ttc,Unbraked TTC,0.7722222222222227,1440,1440
scene-bvh,17,stopping_margin,Stopping margin,1.1916666666666682,1440,1440
scene-bvh,17,collision_speed,Collision speed,0.675880113563041,1440,1440
scene-bvh,17,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
scene-bvh,33,safe_stop_rate,Safe-stop rate,0.9840277777777777,1440,1440
scene-bvh,33,detection_range,Detection range,3.886810173820266,1440,1440
scene-bvh,33,unbraked_ttc,Unbraked TTC,1.0781712962962964,1440,1440
scene-bvh,33,stopping_margin,Stopping margin,2.1095138888888894,1440,1440
scene-bvh,33,collision_speed,Collision speed,0.007142994928124122,1440,1440
scene-bvh,33,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
scene-bvh,65,safe_stop_rate,Safe-stop rate,1.0,1440,1440
scene-bvh,65,detection_range,Detection range,4.8515375114473445,1440,1440
scene-bvh,65,unbraked_ttc,Unbraked TTC,1.4075925925925925,1440,1440
scene-bvh,65,stopping_margin,Stopping margin,3.097777777777778,1440,1440
scene-bvh,65,collision_speed,Collision speed,0.0,1440,1440
scene-bvh,65,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
scene-bvh,129,safe_stop_rate,Safe-stop rate,1.0,1440,1440
scene-bvh,129,detection_range,Detection range,5.204340426180574,1440,1440
scene-bvh,129,unbraked_ttc,Unbraked TTC,1.5298611111111111,1440,1440
scene-bvh,129,stopping_margin,Stopping margin,3.464583333333333,1440,1440
scene-bvh,129,collision_speed,Collision speed,0.0,1440,1440
scene-bvh,129,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
scene-bvh,257,safe_stop_rate,Safe-stop rate,1.0,1440,1440
scene-bvh,257,detection_range,Detection range,5.257732433166022,1440,1440
