transition,from_mode,to_mode,ray_count,from_median_ms,to_median_ms,median_reduction_ms,median_speedup,from_p95_ms,to_p95_ms,p95_reduction_ms,p95_speedup
true-brute_to_mesh-bvh,true-brute,mesh-bvh,0,0.0,4.1e-05,-4.1e-05,0.0,4.2e-05,4.2e-05,0.0,1.0
true-brute_to_mesh-bvh,true-brute,mesh-bvh,5,0.15200000000000002,0.00575,0.14625000000000002,26.434782608695656,0.1928559,0.007254149999999999,0.18560175,26.58559583135171
true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,0.28141649999999996,0.010770499999999999,0.27064599999999994,26.128452718072513,0.3120815999999999,0.01262705,0.2994545499999999,24.71532147255296
true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,0.5608744999999999,0.02125,0.5396245,26.394094117647054,0.9332374999999998,0.024393749999999995,0.9088437499999998,38.257238022034336
true-brute_to_mesh-bvh,true-brute,mesh-bvh,33,1.175271,0.0419585,1.1333125,28.010319720676378,1.5523038499999995,0.04947674999999999,1.5028270999999995,31.374410202772005
true-brute_to_mesh-bvh,true-brute,mesh-bvh,65,2.59775,0.083792,2.513958,31.002362994080578,4.731960099999998,0.0941333,4.637826799999997,50.268715746712346
true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,4.354416,0.167396,4.1870199999999995,26.0126645797988,4.863933649999998,0.18603299999999998,4.677900649999998,26.145542188751453
true-brute_to_mesh-bvh,true-brute,mesh-bvh,257,9.7305835,0.32229149999999995,9.408292,30.191871333870118,14.76405,0.3660729,14.397977099999999,40.33090130408451
true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,14.735396000000001,0.46777100000000005,14.267625,31.50130298800054,21.284090199999998,0.52415,20.7599402,40.606868644471994
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0,4.1e-05,4.1e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5,0.00575,0.001667,0.004083,3.449310137972405,0.007254149999999999,0.002708,0.004546149999999999,2.678785081240768
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,9,0.010770499999999999,0.003958,0.006812499999999999,2.7211975745325923,0.01262705,0.005375,0.007252050000000001,2.349218604651163
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,17,0.02125,0.0083125,0.012937500000000001,2.556390977443609,0.024393749999999995,0.011431249999999981,0.012962500000000014,2.1339529797703696
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,33,0.0419585,0.016583,0.025375500000000002,2.5302116625459807,0.04947674999999999,0.020049349999999997,0.029427399999999996,2.467748330993274
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,65,0.083792,0.032292,0.051500000000000004,2.59482224699616,0.0941333,0.038133299999999995,0.05600000000000001,2.4685327522139446
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,129,0.167396,0.0655625,0.1018335,2.5532278360343184,0.18603299999999998,0.07929729999999992,0.10673570000000006,2.3460193474431055
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,257,0.32229149999999995,0.1210415,0.20124999999999996,2.662652891776787,0.3660729,0.15278784999999995,0.21328505000000003,2.395955568456524
mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,0.46777100000000005,0.170854,0.29691700000000004,2.737840495393728,0.52415,0.19651424999999997,0.32763575,2.667236599890339
