complexity,object_count,triangles_per_mesh,budget_ms,budget_kind,transition,from_mode,to_mode,from_selected_p95_ms,to_selected_p95_ms,from_ray_count,to_ray_count,ray_count_gain,from_safe_stop_rate,to_safe_stop_rate,safe_stop_rate_gain,ci_low,ci_high,n_paired
1x,25,120,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.2837458499999999,0.20972565,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,25,120,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.20972565,0.20959935,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.5405437499999994,0.20972565,17,361,344,0.6118055555555556,1.0,0.3881944444444444,0.3638888888888889,0.4125,1440
1x,25,120,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.20972565,0.20959935,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,1.4882642499999994,0.20972565,65,361,296,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.20972565,0.20959935,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,3.0862771,0.20972565,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.20972565,0.20959935,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5.99725065,0.20972565,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.20972565,0.20959935,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,6.596975715,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5.99725065,0.20972565,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,25,120,6.596975715,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.20972565,0.20959935,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,100,120,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.47467325,0.38530204999999995,5,129,124,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,100,120,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.38530204999999995,0.38592294999999965,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
1x,100,120,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.8348517499999999,0.9804871500000001,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,100,120,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.9804871500000001,0.38592294999999965,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,100,120,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,1.5464381499999995,0.9804871500000001,17,361,344,0.6118055555555556,1.0,0.3881944444444444,0.3638888888888889,0.4125,1440
1x,100,120,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.9804871500000001,0.38592294999999965,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,100,120,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,3.1455333000000003,0.9804871500000001,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
1x,100,120,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.9804871500000001,0.38592294999999965,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,100,120,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5.494322949999998,0.9804871500000001,65,361,296,1.0,1.0,0.0,0.0,0.0,1440
1x,100,120,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.9804871500000001,0.38592294999999965,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,100,120,26.658836875000002,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,24.23530625,0.9804871500000001,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,100,120,26.658836875000002,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.9804871500000001,0.38592294999999965,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.10389999999999999,0,9,9,0.0,0.34097222222222223,0.34097222222222223,0.3173611111111111,0.36527777777777776,1440
1x,400,120,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.10389999999999999,0.37173299999999937,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,400,120,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.7633993999999998,0,33,33,0.0,0.9840277777777777,0.9840277777777777,0.9770833333333333,0.9896006944444444,1440
1x,400,120,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.7633993999999998,0.37173299999999937,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
1x,400,120,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,1.48621075,0,129,129,0.0,1.0,1.0,1.0,1.0,1440
1x,400,120,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.48621075,0.37173299999999937,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,3.086708349999999,4.594518749999999,5,361,356,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,400,120,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,4.594518749999999,0.37173299999999937,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,7.910157999999999,4.594518749999999,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,400,120,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,4.594518749999999,0.37173299999999937,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,205.22889023999983,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,186.57171839999984,4.594518749999999,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,205.22889023999983,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,4.594518749999999,0.37173299999999937,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.4238026999999999,0.2396354,5,361,356,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
4x,25,480,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.6500083499999999,0.2396354,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
4x,25,480,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,1.647112199999999,0.2396354,17,361,344,0.6118055555555556,1.0,0.3881944444444444,0.3638888888888889,0.4125,1440
4x,25,480,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,2.6847931499999995,0.2396354,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
4x,25,480,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5.513372899999998,0.2396354,65,361,296,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,33.689266489999994,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,30.626605899999994,0.2396354,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
