complexity,object_count,triangles_per_mesh,mode,budget_ms,budget_kind,ray_count,selected_p95_ms,safe_stop_rate
1x,25,120,true-brute,0.5,standard,9,0.2837458499999999,0.34097222222222223
1x,25,120,true-brute,1.0,standard,17,0.5405437499999994,0.6118055555555556
1x,25,120,true-brute,2.0,standard,65,1.4882642499999994,1.0
1x,25,120,true-brute,5.0,standard,129,3.0862771,1.0
1x,25,120,true-brute,8.0,standard,361,5.99725065,1.0
1x,25,120,true-brute,6.596975715,convergence,361,5.99725065,1.0
1x,25,120,mesh-bvh,0.5,standard,361,0.20972565,1.0
1x,25,120,mesh-bvh,1.0,standard,361,0.20972565,1.0
1x,25,120,mesh-bvh,2.0,standard,361,0.20972565,1.0
1x,25,120,mesh-bvh,5.0,standard,361,0.20972565,1.0
1x,25,120,mesh-bvh,8.0,standard,361,0.20972565,1.0
1x,25,120,mesh-bvh,6.596975715,convergence,361,0.20972565,1.0
1x,25,120,scene-bvh,0.5,standard,361,0.20959935,1.0
1x,25,120,scene-bvh,1.0,standard,361,0.20959935,1.0
1x,25,120,scene-bvh,2.0,standard,361,0.20959935,1.0
1x,25,120,scene-bvh,5.0,standard,361,0.20959935,1.0
1x,25,120,scene-bvh,8.0,standard,361,0.20959935,1.0
1x,25,120,scene-bvh,6.596975715,convergence,361,0.20959935,1.0
1x,100,120,true-brute,0.5,standard,5,0.47467325,0.34097222222222223
1x,100,120,true-brute,1.0,standard,9,0.8348517499999999,0.34097222222222223
1x,100,120,true-brute,2.0,standard,17,1.5464381499999995,0.6118055555555556
1x,100,120,true-brute,5.0,standard,33,3.1455333000000003,0.9840277777777777
1x,100,120,true-brute,8.0,standard,65,5.494322949999998,1.0
1x,100,120,true-brute,26.658836875000002,convergence,361,24.23530625,1.0
1x,100,120,mesh-bvh,0.5,standard,129,0.38530204999999995,1.0
1x,100,120,mesh-bvh,1.0,standard,361,0.9804871500000001,1.0
1x,100,120,mesh-bvh,2.0,standard,361,0.9804871500000001,1.0
1x,100,120,mesh-bvh,5.0,standard,361,0.9804871500000001,1.0
1x,100,120,mesh-bvh,8.0,standard,361,0.9804871500000001,1.0
1x,100,120,mesh-bvh,26.658836875000002,convergence,361,0.9804871500000001,1.0
1x,100,120,scene-bvh,0.5,standard,361,0.38592294999999965,1.0
1x,100,120,scene-bvh,1.0,standard,361,0.38592294999999965,1.0
1x,100,120,scene-bvh,2.0,standard,361,0.38592294999999965,1.0
1x,100,120,scene-bvh,5.0,standard,361,0.38592294999999965,1.0
1x,100,120,scene-bvh,8.0,standard,361,0.38592294999999965,1.0
1x,100,120,scene-bvh,26.658836875000002,convergence,361,0.38592294999999965,1.0
1x,400,120,true-brute,0.5,standard,0,4.2e-05,0.0
1x,400,120,true-brute,1.0,standard,0,4.2e-05,0.0
1x,400,120,true-brute,2.0,standard,0,4.2e-05,0.0
1x,400,120,true-brute,5.0,standard,5,3.086708349999999,0.34097222222222223
1x,400,120,true-brute,8.0,standard,9,7.910157999999999,0.34097222222222223
1x,400,120,true-brute,205.22889023999983,convergence,361,186.57171839999984,1.0
1x,400,120,mesh-bvh,0.5,standard,9,0.10389999999999999,0.34097222222222223
1x,400,120,mesh-bvh,1.0,standard,33,0.7633993999999998,0.9840277777777777
1x,400,120,mesh-bvh,2.0,standard,129,1.48621075,1.0
1x,400,120,mesh-bvh,5.0,standard,361,4.594518749999999,1.0
1x,400,120,mesh-bvh,8.0,standard,361,4.594518749999999,1.0
1x,400,120,mesh-bvh,205.22889023999983,convergence,361,4.594518749999999,1.0
1x,400,120,scene-bvh,0.5,standard,361,0.37173299999999937,1.0
1x,400,120,scene-bvh,1.0,standard,361,0.37173299999999937,1.0
1x,400,120,scene-bvh,2.0,standard,361,0.37173299999999937,1.0
1x,400,120,scene-bvh,5.0,standard,361,0.37173299999999937,1.0
1x,400,120,scene-bvh,8.0,standard,361,0.37173299999999937,1.0
1x,400,120,scene-bvh,205.22889023999983,convergence,361,0.37173299999999937,1.0
4x,25,480,true-brute,0.5,standard,5,0.4238026999999999,0.34097222222222223
4x,25,480,true-brute,1.0,standard,9,0.6500083499999999,0.34097222222222223
4x,25,480,true-brute,2.0,standard,17,1.647112199999999,0.6118055555555556
4x,25,480,true-brute,5.0,standard,33,2.6847931499999995,0.9840277777777777
4x,25,480,true-brute,8.0,standard,65,5.513372899999998,1.0
4x,25,480,true-brute,33.689266489999994,convergence,361,30.626605899999994,1.0
