complexity,object_count,triangles_per_mesh,transition,from_mode,to_mode,ray_count,from_median_ms,to_median_ms,median_reduction_ms,median_speedup,from_p95_ms,to_p95_ms,p95_reduction_ms,p95_speedup
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0,4.2e-05,4.2e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5,0.0716665,0.0024795,0.069187,28.903609598709416,0.11147709999999997,0.0034180999999999994,0.10805899999999997,32.61376203153799
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,0.1296455,0.004459,0.1251865,29.075016819914776,0.2837458499999999,0.005708,0.2780378499999999,49.710204975473005
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,0.248291,0.008937500000000001,0.2393535,27.780811188811185,0.5405437499999994,0.011041,0.5295027499999995,48.95786160673847
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,33,0.6023125,0.0178955,0.5844170000000001,33.65720432510966,1.0549243499999996,0.01945805,1.0354662999999997,54.215317053867146
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,65,0.9497915,0.0349795,0.914812,27.152803785074116,1.4882642499999994,0.0411375,1.4471267499999994,36.17780006077179
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,1.9372295,0.0696665,1.8675629999999999,27.807188533943858,3.0862771,0.08051394999999997,3.0057631500000004,38.33220330141548
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,257,4.0254585,0.1362085,3.88925,29.553651203852915,6.364481249999999,0.1531354,6.211345849999999,41.56113641914279
1x,25,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,5.300312,0.1935415,5.1067705,27.385919815646773,5.99725065,0.20972565,5.787525,28.59569466109653
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0,4.2e-05,4.2e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5,0.0024795,0.001917,0.0005624999999999998,1.2934272300469483,0.0034180999999999994,0.003167,0.00025109999999999933,1.0792863909062202
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,9,0.004459,0.004125,0.0003340000000000001,1.080969696969697,0.005708,0.005338149999999999,0.00036985000000000143,1.0692843026142018
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,17,0.008937500000000001,0.0077915,0.0011460000000000012,1.1470833600718733,0.011041,0.009833,0.0012080000000000007,1.1228516220888844
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,33,0.0178955,0.015333,0.0025625000000000023,1.1671231983303987,0.01945805,0.0195872,-0.00012914999999999802,0.9934064082666232
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,65,0.0349795,0.030854,0.004125499999999997,1.133710377908861,0.0411375,0.0388771,0.0022604000000000027,1.0581421968202362
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,129,0.0696665,0.0613955,0.008271000000000008,1.134716713765667,0.08051394999999997,0.07650625,0.004007699999999975,1.052383955559186
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,257,0.1362085,0.11956249999999999,0.016646000000000022,1.1392242550967069,0.1531354,0.14891074999999993,0.00422465000000008,1.0283703493535563
1x,25,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,0.1935415,0.175041,0.018500500000000003,1.1056923806422496,0.20972565,0.20959935,0.00012630000000002362,1.0006025782045604
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0,4.2e-05,4.1e-05,9.999999999999972e-07,1.024390243902439,4.2e-05,4.2e-05,0.0,1.0
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5,0.299771,0.007271,0.2925,41.22830422225279,0.47467325,0.011339249999999997,0.46333399999999997,41.86107987741695
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,0.5700000000000001,0.0155415,0.5544585000000001,36.67599652543191,0.8348517499999999,0.03610899999999999,0.79874275,23.12032318812485
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,1.0435625000000002,0.0277715,1.015791,37.576742343769695,1.5464381499999995,0.0496681,1.4967700499999994,31.135440051058918
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,33,2.1593964999999997,0.0548335,2.1045629999999997,39.38097148640885,3.1455333000000003,0.10907084999999997,3.03646245,28.839358086968254
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,65,4.085646,0.1172915,3.9683545,34.83326583767792,5.494322949999998,0.21053539999999996,5.283787549999998,26.09690793092278
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,7.7428545,0.2316875,7.511167,33.41938818451578,11.554816349999992,0.38530204999999995,11.169514299999992,29.988982280265557
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,257,15.009542,0.5974794999999999,14.4120625,25.12143429188784,17.20063604999999,1.033893449999999,16.166742599999992,16.6367588942555
1x,100,120,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,20.672729,0.7131244999999999,19.9596045,28.988947932654117,24.23530625,0.9804871500000001,23.2548191,24.717617410896203
1x,100,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0,4.1e-05,4.1e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
1x,100,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5,0.007271,0.002416,0.004855,3.0095198675496686,0.011339249999999997,0.004431549999999995,0.006907700000000002,2.558754837472218
1x,100,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,9,0.0155415,0.005458,0.010083499999999999,2.8474716013191643,0.03610899999999999,0.016931549999999997,0.01917744999999999,2.1326458593572353
1x,100,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,17,0.0277715,0.01175,0.0160215,2.363531914893617,0.0496681,0.020362499999999877,0.029305600000000123,2.4391945979128447
1x,100,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,33,0.0548335,0.024125,0.0307085,2.2728911917098444,0.10907084999999997,0.07456009999999996,0.03451075000000001,1.4628581506730816
1x,100,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,65,0.1172915,0.049146,0.0681455,2.3865930085866602,0.21053539999999996,0.1725124999999998,0.038022900000000165,1.220406637200204
1x,100,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,129,0.2316875,0.09502050000000001,0.13666699999999998,2.438289632237254,0.38530204999999995,0.18205384999999988,0.20324820000000007,2.1164180268640305
1x,100,120,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,257,0.5974794999999999,0.1645835,0.43289599999999995,3.630251513669353,1.033893449999999,0.24069939999999998,0.793194049999999,4.295371945256195
