axis,complexity,object_count,mode,ray_count,lower_coordinate,lower_p95_ms,higher_coordinate,higher_p95_ms,p95_decrease_ms
ray_count,1x,25,true-brute,,257,6.364481249999999,361,5.99725065,0.3672305999999992
ray_count,1x,100,mesh-bvh,,257,1.033893449999999,361,0.9804871500000001,0.05340629999999891
ray_count,1x,400,mesh-bvh,,17,1.1137472999999998,33,0.7633993999999998,0.35034789999999993
ray_count,4x,100,mesh-bvh,,5,0.03905144999999995,9,0.032375349999999976,0.0066760999999999765
ray_count,4x,100,scene-bvh,,257,0.47849519999999984,361,0.45043574999999964,0.028059450000000208
ray_count,4x,400,mesh-bvh,,65,2.400711049999999,129,2.0905604499999995,0.3101505999999996
ray_count,16x,25,true-brute,,65,71.76645414999996,129,56.72343124999997,15.04302289999999
ray_count,16x,25,scene-bvh,,9,0.017287499999999987,17,0.012135399999999998,0.005152099999999989
ray_count,16x,100,true-brute,,65,193.44604794999998,129,105.43408539999999,88.01196254999999
ray_count,16x,100,scene-bvh,,257,0.8975943999999995,361,0.3592569,0.5383374999999995
complexity,,25,scene-bvh,5,4x,0.0035,16x,0.003252099999999999,0.000247900000000001
complexity,,100,mesh-bvh,5,4x,0.03905144999999995,16x,0.013999699999999986,0.025051749999999966
complexity,,100,mesh-bvh,9,1x,0.03610899999999999,4x,0.032375349999999976,0.003733650000000012
complexity,,100,mesh-bvh,9,4x,0.032375349999999976,16x,0.0217101,0.010665249999999977
complexity,,100,mesh-bvh,17,1x,0.0496681,4x,0.04892979999999997,0.000738300000000032
complexity,,100,mesh-bvh,17,4x,0.04892979999999997,16x,0.04246904999999999,0.00646074999999998
complexity,,100,mesh-bvh,33,1x,0.10907084999999997,4x,0.09802674999999998,0.011044099999999987
complexity,,100,mesh-bvh,33,4x,0.09802674999999998,16x,0.08309019999999996,0.01493655000000002
complexity,,100,mesh-bvh,65,1x,0.21053539999999996,4x,0.18791699999999995,0.02261840000000001
complexity,,100,mesh-bvh,65,4x,0.18791699999999995,16x,0.16081284999999998,0.027104149999999966
complexity,,100,mesh-bvh,129,1x,0.38530204999999995,4x,0.36063539999999994,0.024666650000000012
complexity,,100,mesh-bvh,257,1x,1.033893449999999,4x,0.7119568999999999,0.3219365499999991
complexity,,100,mesh-bvh,361,4x,1.9018728999999985,16x,1.1113600999999993,0.7905127999999992
complexity,,100,scene-bvh,5,1x,0.004431549999999995,4x,0.0034600999999999994,0.0009714499999999957
complexity,,100,scene-bvh,9,1x,0.016931549999999997,4x,0.008046149999999998,0.008885399999999998
complexity,,100,scene-bvh,17,1x,0.020362499999999877,4x,0.016341349999999998,0.00402114999999988
complexity,,100,scene-bvh,17,4x,0.016341349999999998,16x,0.015941949999999993,0.0003994000000000046
complexity,,100,scene-bvh,33,1x,0.07456009999999996,4x,0.03767079999999998,0.03688929999999998
complexity,,100,scene-bvh,33,4x,0.03767079999999998,16x,0.03225,0.005420799999999983
complexity,,100,scene-bvh,65,1x,0.1725124999999998,4x,0.06223924999999999,0.1102732499999998
complexity,,100,scene-bvh,129,4x,0.2197520999999997,16x,0.12698509999999977,0.09276699999999993
complexity,,100,scene-bvh,361,4x,0.45043574999999964,16x,0.3592569,0.09117884999999964
complexity,,400,mesh-bvh,0,4x,8.4e-05,16x,4.2e-05,4.2e-05
complexity,,400,mesh-bvh,5,4x,0.06418365,16x,0.048266649999999994,0.015917
complexity,,400,mesh-bvh,9,4x,0.12075419999999999,16x,0.08847259999999998,0.03228160000000001
complexity,,400,mesh-bvh,17,1x,1.1137472999999998,4x,0.4673792,0.6463680999999998
complexity,,400,mesh-bvh,17,4x,0.4673792,16x,0.17408815,0.29329105
complexity,,400,mesh-bvh,33,4x,0.8304249999999995,16x,0.34454789999999996,0.48587709999999956
complexity,,400,mesh-bvh,65,4x,2.400711049999999,16x,0.67173715,1.728973899999999
