complexity,object_count,triangles_per_mesh,mode,ray_count,median_ms,p95_ms
1x,25,120,true-brute,0,4.1999999999999998e-05,4.1999999999999998e-05
1x,25,120,true-brute,5,0.071666499999999994,0.11147709999999997
1x,25,120,true-brute,9,0.1296455,0.28374584999999991
1x,25,120,true-brute,17,0.24829100000000001,0.54054374999999943
1x,25,120,true-brute,33,0.60231250000000003,1.0549243499999996
1x,25,120,true-brute,65,0.94979150000000001,1.4882642499999994
1x,25,120,true-brute,129,1.9372294999999999,3.0862771000000002
1x,25,120,true-brute,257,4.0254585000000001,6.364481249999999
1x,25,120,true-brute,361,5.3003119999999999,5.9972506499999998
1x,25,120,mesh-bvh,0,4.1999999999999998e-05,4.1999999999999998e-05
1x,25,120,mesh-bvh,5,0.0024794999999999999,0.0034180999999999994
1x,25,120,mesh-bvh,9,0.0044590000000000003,0.0057080000000000004
1x,25,120,mesh-bvh,17,0.008937500000000001,0.011041
1x,25,120,mesh-bvh,33,0.017895500000000002,0.019458050000000001
1x,25,120,mesh-bvh,65,0.034979499999999997,0.0411375
1x,25,120,mesh-bvh,129,0.069666500000000006,0.080513949999999973
1x,25,120,mesh-bvh,257,0.13620850000000001,0.1531354
1x,25,120,mesh-bvh,361,0.19354150000000001,0.20972565000000001
1x,25,120,scene-bvh,0,4.1999999999999998e-05,4.1999999999999998e-05
1x,25,120,scene-bvh,5,0.0019170000000000001,0.0031670000000000001
1x,25,120,scene-bvh,9,0.0041250000000000002,0.005338149999999999
1x,25,120,scene-bvh,17,0.0077914999999999998,0.0098329999999999997
1x,25,120,scene-bvh,33,0.015332999999999999,0.019587199999999999
1x,25,120,scene-bvh,65,0.030853999999999999,0.038877099999999998
1x,25,120,scene-bvh,129,0.061395499999999999,0.076506249999999998
1x,25,120,scene-bvh,257,0.11956249999999999,0.14891074999999993
1x,25,120,scene-bvh,361,0.175041,0.20959934999999999
1x,100,120,true-brute,0,4.1999999999999998e-05,4.1999999999999998e-05
1x,100,120,true-brute,5,0.29977100000000001,0.47467324999999999
1x,100,120,true-brute,9,0.57000000000000006,0.83485174999999989
1x,100,120,true-brute,17,1.0435625000000002,1.5464381499999995
1x,100,120,true-brute,33,2.1593964999999997,3.1455333000000003
1x,100,120,true-brute,65,4.0856459999999997,5.4943229499999982
1x,100,120,true-brute,129,7.7428545,11.554816349999992
1x,100,120,true-brute,257,15.009542,17.200636049999989
1x,100,120,true-brute,361,20.672729,24.235306250000001
1x,100,120,mesh-bvh,0,4.1e-05,4.1999999999999998e-05
1x,100,120,mesh-bvh,5,0.0072709999999999997,0.011339249999999997
1x,100,120,mesh-bvh,9,0.0155415,0.036108999999999988
1x,100,120,mesh-bvh,17,0.027771500000000001,0.0496681
1x,100,120,mesh-bvh,33,0.0548335,0.10907084999999997
1x,100,120,mesh-bvh,65,0.11729150000000001,0.21053539999999996
1x,100,120,mesh-bvh,129,0.23168749999999999,0.38530204999999995
1x,100,120,mesh-bvh,257,0.59747949999999994,1.033893449999999
1x,100,120,mesh-bvh,361,0.71312449999999994,0.98048715000000009
1x,100,120,scene-bvh,0,4.1e-05,4.1999999999999998e-05
1x,100,120,scene-bvh,5,0.0024160000000000002,0.004431549999999995
1x,100,120,scene-bvh,9,0.0054580000000000002,0.016931549999999997
1x,100,120,scene-bvh,17,0.01175,0.020362499999999877
1x,100,120,scene-bvh,33,0.024125000000000001,0.074560099999999963
1x,100,120,scene-bvh,65,0.049146000000000002,0.17251249999999979
1x,100,120,scene-bvh,129,0.095020500000000008,0.18205384999999988
1x,100,120,scene-bvh,257,0.16458349999999999,0.24069939999999998
1x,100,120,scene-bvh,361,0.247396,0.38592294999999965
1x,400,120,true-brute,0,4.1999999999999998e-05,4.1999999999999998e-05
1x,400,120,true-brute,5,1.591062,3.086708349999999
1x,400,120,true-brute,9,3.0901665,7.9101579999999991
1x,400,120,true-brute,17,5.9154999999999998,9.6600541499999988
1x,400,120,true-brute,33,9.696291500000001,16.498737499999994
1x,400,120,true-brute,65,19.939250000000001,27.845344049999994
1x,400,120,true-brute,129,38.912208,50.866835399999971
