object_count,triangles_per_mesh,budget_ms,budget_kind,transition,mesh_bvh_selected_p95_ms,scene_bvh_selected_p95_ms,mesh_bvh_ray_count,scene_bvh_ray_count,ray_count_gain,mesh_bvh_safe_stop_rate,scene_bvh_safe_stop_rate,safe_stop_rate_gain,ci_low,ci_high,n_paired
25,120,0.5,standard,mesh-bvh_to_scene-bvh,0.21887259999999986,0.18176699999999993,257,361,104,1.0,1.0,0.0,0.0,0.0,1440
25,120,1.0,standard,mesh-bvh_to_scene-bvh,0.563230649999997,0.18176699999999993,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
25,120,2.0,standard,mesh-bvh_to_scene-bvh,0.563230649999997,0.18176699999999993,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
25,120,5.0,standard,mesh-bvh_to_scene-bvh,0.563230649999997,0.18176699999999993,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
25,120,8.0,standard,mesh-bvh_to_scene-bvh,0.563230649999997,0.18176699999999993,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
25,120,15.195348024999982,convergence,mesh-bvh_to_scene-bvh,0.563230649999997,0.18176699999999993,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
50,120,0.5,standard,mesh-bvh_to_scene-bvh,0.22503335,0.4129684,129,257,128,1.0,1.0,0.0,0.0,0.0,1440
50,120,1.0,standard,mesh-bvh_to_scene-bvh,0.6256377999999997,0.5309146,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
50,120,2.0,standard,mesh-bvh_to_scene-bvh,0.6256377999999997,0.5309146,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
50,120,5.0,standard,mesh-bvh_to_scene-bvh,0.6256377999999997,0.5309146,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
50,120,8.0,standard,mesh-bvh_to_scene-bvh,0.6256377999999997,0.5309146,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
50,120,30.588667449999992,convergence,mesh-bvh_to_scene-bvh,0.6256377999999997,0.5309146,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
100,120,0.5,standard,mesh-bvh_to_scene-bvh,0.39806184999999994,0.4338229499999998,129,257,128,1.0,1.0,0.0,0.0,0.0,1440
100,120,1.0,standard,mesh-bvh_to_scene-bvh,0.7320014499999997,0.5011610499999996,257,361,104,1.0,1.0,0.0,0.0,0.0,1440
100,120,2.0,standard,mesh-bvh_to_scene-bvh,1.0293047999999998,0.5011610499999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
100,120,5.0,standard,mesh-bvh_to_scene-bvh,1.0293047999999998,0.5011610499999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
100,120,8.0,standard,mesh-bvh_to_scene-bvh,1.0293047999999998,0.5011610499999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
100,120,25.842089514999977,convergence,mesh-bvh_to_scene-bvh,1.0293047999999998,0.5011610499999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
200,120,0.5,standard,mesh-bvh_to_scene-bvh,0.2786347499999999,0.4840708499999997,33,129,96,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
200,120,1.0,standard,mesh-bvh_to_scene-bvh,0.6258874999999993,0.9517003499999989,65,257,192,1.0,1.0,0.0,0.0,0.0,1440
200,120,2.0,standard,mesh-bvh_to_scene-bvh,0.6258874999999993,1.4527999999999996,65,361,296,1.0,1.0,0.0,0.0,0.0,1440
200,120,5.0,standard,mesh-bvh_to_scene-bvh,3.9806458,1.4527999999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
200,120,8.0,standard,mesh-bvh_to_scene-bvh,3.9806458,1.4527999999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
200,120,98.19420226,convergence,mesh-bvh_to_scene-bvh,3.9806458,1.4527999999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
400,120,0.5,standard,mesh-bvh_to_scene-bvh,0.28394614999999995,0.43028189999999955,9,257,248,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
400,120,1.0,standard,mesh-bvh_to_scene-bvh,0.5197996999999999,0.9700805999999983,17,361,344,0.6118055555555556,1.0,0.3881944444444444,0.3638888888888889,0.4125,1440
400,120,2.0,standard,mesh-bvh_to_scene-bvh,1.2148457999999998,0.9700805999999983,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
400,120,5.0,standard,mesh-bvh_to_scene-bvh,4.690214299999998,0.9700805999999983,65,361,296,1.0,1.0,0.0,0.0,0.0,1440
400,120,8.0,standard,mesh-bvh_to_scene-bvh,5.0002249999999995,0.9700805999999983,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
400,120,354.95368496500004,convergence,mesh-bvh_to_scene-bvh,15.850571149999997,0.9700805999999983,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
