object_count,triangles_per_mesh,mode,budget_ms,budget_kind,ray_count,selected_p95_ms,safe_stop_rate
25,120,true-brute,0.5,standard,9,0.44849169999999966,0.34097222222222223
25,120,true-brute,1.0,standard,17,0.6175169999999999,0.6118055555555556
25,120,true-brute,2.0,standard,33,1.4864535499999996,0.9840277777777777
25,120,true-brute,5.0,standard,129,4.333104499999999,1.0
25,120,true-brute,8.0,standard,257,7.9369499999999915,1.0
25,120,true-brute,12.110462154999995,convergence,361,11.009511049999995,1.0
25,120,mesh-bvh,0.5,standard,361,0.39273184999999977,1.0
25,120,mesh-bvh,1.0,standard,361,0.39273184999999977,1.0
25,120,mesh-bvh,2.0,standard,361,0.39273184999999977,1.0
25,120,mesh-bvh,5.0,standard,361,0.39273184999999977,1.0
25,120,mesh-bvh,8.0,standard,361,0.39273184999999977,1.0
25,120,mesh-bvh,12.110462154999995,convergence,361,0.39273184999999977,1.0
25,120,scene-bvh,0.5,standard,361,0.40834164999999933,1.0
25,120,scene-bvh,1.0,standard,361,0.40834164999999933,1.0
25,120,scene-bvh,2.0,standard,361,0.40834164999999933,1.0
25,120,scene-bvh,5.0,standard,361,0.40834164999999933,1.0
25,120,scene-bvh,8.0,standard,361,0.40834164999999933,1.0
25,120,scene-bvh,12.110462154999995,convergence,361,0.40834164999999933,1.0
50,120,true-brute,0.5,standard,5,0.38123954999999987,0.34097222222222223
50,120,true-brute,1.0,standard,9,0.846300349999999,0.34097222222222223
50,120,true-brute,2.0,standard,17,1.1881211499999988,0.6118055555555556
50,120,true-brute,5.0,standard,33,2.5844457999999997,0.9840277777777777
50,120,true-brute,8.0,standard,65,5.586604149999992,1.0
50,120,true-brute,21.553859029999998,convergence,361,19.594417299999996,1.0
50,120,mesh-bvh,0.5,standard,129,0.39054999999999995,1.0
50,120,mesh-bvh,1.0,standard,257,0.7370433999999993,1.0
50,120,mesh-bvh,2.0,standard,361,1.101783349999999,1.0
50,120,mesh-bvh,5.0,standard,361,1.101783349999999,1.0
50,120,mesh-bvh,8.0,standard,361,1.101783349999999,1.0
50,120,mesh-bvh,21.553859029999998,convergence,361,1.101783349999999,1.0
50,120,scene-bvh,0.5,standard,361,0.4386097499999997,1.0
50,120,scene-bvh,1.0,standard,361,0.4386097499999997,1.0
50,120,scene-bvh,2.0,standard,361,0.4386097499999997,1.0
50,120,scene-bvh,5.0,standard,361,0.4386097499999997,1.0
50,120,scene-bvh,8.0,standard,361,0.4386097499999997,1.0
50,120,scene-bvh,21.553859029999998,convergence,361,0.4386097499999997,1.0
100,120,true-brute,0.5,standard,0,4.2e-05,0.0
100,120,true-brute,1.0,standard,5,0.6142627999999999,0.34097222222222223
100,120,true-brute,2.0,standard,9,1.267393749999999,0.34097222222222223
100,120,true-brute,5.0,standard,33,4.463258049999996,0.9840277777777777
100,120,true-brute,8.0,standard,33,4.463258049999996,0.9840277777777777
100,120,true-brute,45.700277205,convergence,361,41.54570655,1.0
100,120,mesh-bvh,0.5,standard,65,0.3390235499999998,1.0
100,120,mesh-bvh,1.0,standard,129,0.712443099999999,1.0
100,120,mesh-bvh,2.0,standard,361,1.5034229,1.0
100,120,mesh-bvh,5.0,standard,361,1.5034229,1.0
100,120,mesh-bvh,8.0,standard,361,1.5034229,1.0
100,120,mesh-bvh,45.700277205,convergence,361,1.5034229,1.0
100,120,scene-bvh,0.5,standard,257,0.42302324999999996,1.0
100,120,scene-bvh,1.0,standard,361,0.5120294499999996,1.0
100,120,scene-bvh,2.0,standard,361,0.5120294499999996,1.0
100,120,scene-bvh,5.0,standard,361,0.5120294499999996,1.0
100,120,scene-bvh,8.0,standard,361,0.5120294499999996,1.0
100,120,scene-bvh,45.700277205,convergence,361,0.5120294499999996,1.0
200,120,true-brute,0.5,standard,0,4.2e-05,0.0
200,120,true-brute,1.0,standard,0,4.2e-05,0.0
200,120,true-brute,2.0,standard,5,1.0521669999999996,0.34097222222222223
200,120,true-brute,5.0,standard,17,4.015206549999999,0.6118055555555556
200,120,true-brute,8.0,standard,33,6.9713410499999995,0.9840277777777777
200,120,true-brute,62.16950244999996,convergence,361,56.51772949999996,1.0
200,120,mesh-bvh,0.5,standard,129,0.47808719999999993,1.0
200,120,mesh-bvh,1.0,standard,257,0.862084,1.0
200,120,mesh-bvh,2.0,standard,361,1.12593365,1.0
200,120,mesh-bvh,5.0,standard,361,1.12593365,1.0
200,120,mesh-bvh,8.0,standard,361,1.12593365,1.0
200,120,mesh-bvh,62.16950244999996,convergence,361,1.12593365,1.0
200,120,scene-bvh,0.5,standard,361,0.35018364999999985,1.0
200,120,scene-bvh,1.0,standard,361,0.35018364999999985,1.0
200,120,scene-bvh,2.0,standard,361,0.35018364999999985,1.0
200,120,scene-bvh,5.0,standard,361,0.35018364999999985,1.0
200,120,scene-bvh,8.0,standard,361,0.35018364999999985,1.0
200,120,scene-bvh,62.16950244999996,convergence,361,0.35018364999999985,1.0
400,120,true-brute,0.5,standard,0,4.2e-05,0.0
400,120,true-brute,1.0,standard,5,0.9646395999999999,0.34097222222222223
400,120,true-brute,2.0,standard,5,0.9646395999999999,0.34097222222222223
400,120,true-brute,5.0,standard,17,3.9602044999999997,0.6118055555555556
400,120,true-brute,8.0,standard,33,6.89702675,0.9840277777777777
400,120,true-brute,157.06649749999994,convergence,361,142.78772499999994,1.0
400,120,mesh-bvh,0.5,standard,65,0.4273673,1.0
400,120,mesh-bvh,1.0,standard,65,0.4273673,1.0
400,120,mesh-bvh,2.0,standard,129,1.2516645999999991,1.0
400,120,mesh-bvh,5.0,standard,361,3.1791190499999966,1.0
400,120,mesh-bvh,8.0,standard,361,3.1791190499999966,1.0
400,120,mesh-bvh,157.06649749999994,convergence,361,3.1791190499999966,1.0
400,120,scene-bvh,0.5,standard,361,0.4042152499999999,1.0
400,120,scene-bvh,1.0,standard,361,0.4042152499999999,1.0
400,120,scene-bvh,2.0,standard,361,0.4042152499999999,1.0
400,120,scene-bvh,5.0,standard,361,0.4042152499999999,1.0
400,120,scene-bvh,8.0,standard,361,0.4042152499999999,1.0
400,120,scene-bvh,157.06649749999994,convergence,361,0.4042152499999999,1.0
