object_count,triangles_per_mesh,transition,ray_count,mesh_bvh_median_ms,scene_bvh_median_ms,median_reduction_ms,median_speedup,mesh_bvh_p95_ms,scene_bvh_p95_ms,p95_reduction_ms,p95_speedup
25,120,mesh-bvh_to_scene-bvh,0,4.1e-05,4.1e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
25,120,mesh-bvh_to_scene-bvh,5,0.001875,0.001458,0.00041699999999999984,1.2860082304526748,0.0025,0.002375,0.0001250000000000001,1.0526315789473684
25,120,mesh-bvh_to_scene-bvh,9,0.003542,0.0031045,0.00043749999999999995,1.1409244644870349,0.00475,0.003960099999999999,0.0007899000000000005,1.1994646599833338
25,120,mesh-bvh_to_scene-bvh,17,0.006792,0.0066455,0.00014649999999999993,1.022044992852306,0.0081681,0.010749999999999958,-0.002581899999999958,0.7598232558139564
25,120,mesh-bvh_to_scene-bvh,33,0.013917,0.0170625,-0.0031455000000000007,0.8156483516483516,0.014967299999999998,0.10202114999999996,-0.08705384999999996,0.14670781499718444
25,120,mesh-bvh_to_scene-bvh,65,0.0269375,0.027104,-0.00016649999999999998,0.9938569952774499,0.030048199999999997,0.05914824999999996,-0.02910004999999996,0.5080150300304745
25,120,mesh-bvh_to_scene-bvh,129,0.053792,0.0482495,0.005542499999999999,1.1148716567011057,0.08134134999999999,0.05871425,0.02262709999999999,1.3853766334407744
25,120,mesh-bvh_to_scene-bvh,257,0.10743749999999999,0.0923745,0.015062999999999993,1.1630644820810938,0.21887259999999986,0.1363017499999999,0.08257084999999997,1.605794496402284
25,120,mesh-bvh_to_scene-bvh,361,0.15947899999999998,0.1349795,0.02449949999999998,1.181505339699732,0.563230649999997,0.18176699999999993,0.38146364999999705,3.0986408423971192
50,120,mesh-bvh_to_scene-bvh,0,4.1e-05,4.1e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
50,120,mesh-bvh_to_scene-bvh,5,0.0036875,0.001875,0.0018124999999999999,1.9666666666666666,0.005212149999999999,0.002875,0.0023371499999999988,1.8129217391304344
50,120,mesh-bvh_to_scene-bvh,9,0.00675,0.004562500000000001,0.0021874999999999993,1.4794520547945202,0.012756249999999955,0.007644399999999979,0.005111849999999976,1.6687051959604402
50,120,mesh-bvh_to_scene-bvh,17,0.0142915,0.010229,0.0040625,1.3971551471307069,0.02561634999999999,0.04743299999999992,-0.02181664999999993,0.5400533383931025
50,120,mesh-bvh_to_scene-bvh,33,0.0281455,0.0197915,0.008354,1.422100396634919,0.08631249999999993,0.09636669999999996,-0.010054200000000027,0.8956672792572534
50,120,mesh-bvh_to_scene-bvh,65,0.055979,0.0375,0.018479000000000002,1.4927733333333335,0.22388779999999997,0.06999789999999992,0.15388990000000005,3.1984930976500756
50,120,mesh-bvh_to_scene-bvh,129,0.11381250000000001,0.0853335,0.028479000000000004,1.3337376294186927,0.22503335,0.22512114999999963,-8.779999999963817e-05,0.9996099877776937
50,120,mesh-bvh_to_scene-bvh,257,0.29664599999999997,0.16147899999999998,0.13516699999999998,1.8370562116436193,1.338728849999999,0.4129684,0.925760449999999,3.241722247997665
50,120,mesh-bvh_to_scene-bvh,361,0.3505835,0.226292,0.1242915,1.5492527354038146,0.6256377999999997,0.5309146,0.09472319999999967,1.178415134938839
100,120,mesh-bvh_to_scene-bvh,0,4.1e-05,4.1e-05,0.0,1.0,4.2e-05,4.2e-05,0.0,1.0
100,120,mesh-bvh_to_scene-bvh,5,0.006417,0.0020835000000000003,0.0043335,3.0799136069114468,0.015801799999999967,0.0036690499999999992,0.012132749999999966,4.30678240961556
100,120,mesh-bvh_to_scene-bvh,9,0.0153955,0.005,0.010395499999999998,3.0791,0.5380458499999998,0.006879149999999999,0.5311666999999999,78.21400172986488
100,120,mesh-bvh_to_scene-bvh,17,0.024458,0.010625,0.013833,2.301929411764706,0.04926104999999999,0.016160399999999988,0.033100649999999995,3.0482568500779696
100,120,mesh-bvh_to_scene-bvh,33,0.0563965,0.021104499999999998,0.035292000000000004,2.672249994077093,0.15836664999999964,0.025768749999999993,0.13259789999999966,6.145686150861011
100,120,mesh-bvh_to_scene-bvh,65,0.111041,0.0397295,0.0713115,2.794925684944437,0.2127350999999999,0.0486375,0.1640975999999999,4.373890516576713
100,120,mesh-bvh_to_scene-bvh,129,0.21145799999999998,0.121667,0.08979099999999998,1.7380061972432952,0.39806184999999994,1.7922520999999978,-1.3941902499999979,0.22210148337948687
100,120,mesh-bvh_to_scene-bvh,257,0.4299585,0.197771,0.23218750000000002,2.174021974910376,0.7320014499999997,0.4338229499999998,0.2981784999999999,1.6873276298545294
100,120,mesh-bvh_to_scene-bvh,361,0.6474375,0.28612550000000003,0.36131199999999997,2.2627745517264275,1.0293047999999998,0.5011610499999996,0.5281437500000002,2.053840377259966
200,120,mesh-bvh_to_scene-bvh,0,4.1e-05,4.2e-05,-9.999999999999972e-07,0.9761904761904763,4.2e-05,4.2e-05,0.0,1.0
200,120,mesh-bvh_to_scene-bvh,5,0.021,0.002833,0.018167000000000003,7.412636780797741,0.02750205,0.00525,0.02225205,5.238485714285714
200,120,mesh-bvh_to_scene-bvh,9,0.040292,0.006167,0.034125,6.533484676503973,0.09714199999999992,0.009333,0.08780899999999993,10.408443158684232
200,120,mesh-bvh_to_scene-bvh,17,0.083291,0.014042,0.069249,5.9315624554906705,0.19838184999999986,0.02029825,0.17808359999999987,9.773347456061476
200,120,mesh-bvh_to_scene-bvh,33,0.1663955,0.029459,0.13693650000000002,5.64837570861197,0.2786347499999999,0.08066669999999995,0.19796804999999992,3.454148366054395
200,120,mesh-bvh_to_scene-bvh,65,0.3245835,0.057375,0.2672085,5.657228758169935,0.6258874999999993,0.17722775,0.44865974999999925,3.5315434518578455
200,120,mesh-bvh_to_scene-bvh,129,0.7531045000000001,0.12060399999999999,0.6325005000000001,6.244440482902724,2.4006125,0.4840708499999997,1.91654165,4.959217230287677
200,120,mesh-bvh_to_scene-bvh,257,1.397917,0.228,1.169917,6.131214912280702,2.4921877999999995,0.9517003499999989,1.5404874500000005,2.6186685756709056
200,120,mesh-bvh_to_scene-bvh,361,2.0146040000000003,0.39356199999999997,1.6210420000000003,5.118898674160616,3.9806458,1.4527999999999996,2.5278458000000006,2.7399819658590316
400,120,mesh-bvh_to_scene-bvh,0,4.2e-05,4.1e-05,9.999999999999972e-07,1.024390243902439,4.2e-05,4.2e-05,0.0,1.0
400,120,mesh-bvh_to_scene-bvh,5,0.0622915,0.0030835,0.059208,20.20155667261229,0.10344554999999975,0.005340199999999998,0.09810534999999974,19.371100333320808
400,120,mesh-bvh_to_scene-bvh,9,0.1263125,0.006833,0.11947949999999999,18.485657836967658,0.28394614999999995,0.01104105,0.27290509999999996,25.71731402357565
400,120,mesh-bvh_to_scene-bvh,17,0.242979,0.0139165,0.2290625,17.459777961412712,0.5197996999999999,0.02973094999999995,0.49006874999999994,17.483454110951744
400,120,mesh-bvh_to_scene-bvh,33,0.4938745,0.032417,0.46145749999999996,15.235046426257826,1.2148457999999998,0.049641649999999996,1.1652041499999997,24.47230903888166
400,120,mesh-bvh_to_scene-bvh,65,1.1166874999999998,0.064083,1.0526044999999997,17.42564330633709,4.690214299999998,0.28033989999999986,4.409874399999999,16.730455778859877
400,120,mesh-bvh_to_scene-bvh,129,2.276833,0.1149165,2.1619165,19.81293373884516,5.0002249999999995,0.259079149999999,4.7411458500000006,19.299989983756003
400,120,mesh-bvh_to_scene-bvh,257,4.4572915,0.2245625,4.232729,19.84877929306986,8.779840999999996,0.43028189999999955,8.349559099999997,20.40485783854725
400,120,mesh-bvh_to_scene-bvh,361,6.5245625,0.3588125,6.16575,18.18376589444348,15.850571149999997,0.9700805999999983,14.88049055,16.339437310672974
