object_count,triangles_per_mesh,mode,ray_count,median_ms,p95_ms
25,120,true-brute,0,0,4.1999999999999998e-05
25,120,true-brute,5,0.040416500000000001,0.051003849999999989
25,120,true-brute,9,0.072915999999999995,0.08747019999999997
25,120,true-brute,17,0.144479,0.27516045
25,120,true-brute,33,0.28152149999999998,0.40053749999999977
25,120,true-brute,65,0.57495849999999993,0.63495174999999993
25,120,true-brute,129,1.206542,2.5331312499999981
25,120,true-brute,257,3.000292,9.8444586499999982
25,120,true-brute,361,4.4696040000000004,13.813952749999983
25,120,mesh-bvh,0,4.1e-05,4.1999999999999998e-05
25,120,mesh-bvh,5,0.0018749999999999999,0.0025000000000000001
25,120,mesh-bvh,9,0.003542,0.0047499999999999999
25,120,mesh-bvh,17,0.0067920000000000003,0.0081680999999999993
25,120,mesh-bvh,33,0.013917000000000001,0.014967299999999998
25,120,mesh-bvh,65,0.0269375,0.030048199999999997
25,120,mesh-bvh,129,0.053792,0.081341349999999993
25,120,mesh-bvh,257,0.10743749999999999,0.21887259999999986
25,120,mesh-bvh,361,0.15947899999999998,0.56323064999999695
25,120,scene-bvh,0,4.1e-05,4.1999999999999998e-05
25,120,scene-bvh,5,0.0014580000000000001,0.0023749999999999999
25,120,scene-bvh,9,0.0031045000000000001,0.0039600999999999994
25,120,scene-bvh,17,0.0066455000000000004,0.010749999999999958
25,120,scene-bvh,33,0.017062500000000001,0.10202114999999996
25,120,scene-bvh,65,0.027104,0.059148249999999958
25,120,scene-bvh,129,0.048249500000000001,0.058714250000000003
25,120,scene-bvh,257,0.092374499999999998,0.13630174999999989
25,120,scene-bvh,361,0.1349795,0.18176699999999993
50,120,true-brute,0,4.1e-05,4.1999999999999998e-05
50,120,true-brute,5,0.1015625,0.16646459999999996
50,120,true-brute,9,0.18433350000000001,0.41499584999999989
50,120,true-brute,17,0.34829199999999999,0.56354554999999995
50,120,true-brute,33,0.7411875,1.483845849999998
50,120,true-brute,65,1.6347294999999999,5.5563506499999855
50,120,true-brute,129,3.0276044999999998,5.7211583500000005
50,120,true-brute,257,6.0410000000000004,10.580991649999998
50,120,true-brute,361,11.443895999999999,27.807879499999991
50,120,mesh-bvh,0,4.1e-05,4.1999999999999998e-05
50,120,mesh-bvh,5,0.0036874999999999998,0.0052121499999999987
50,120,mesh-bvh,9,0.0067499999999999999,0.012756249999999955
50,120,mesh-bvh,17,0.0142915,0.025616349999999989
50,120,mesh-bvh,33,0.0281455,0.086312499999999931
50,120,mesh-bvh,65,0.055979000000000001,0.22388779999999997
50,120,mesh-bvh,129,0.11381250000000001,0.22503334999999999
50,120,mesh-bvh,257,0.29664599999999997,1.338728849999999
50,120,mesh-bvh,361,0.35058349999999999,0.62563779999999969
50,120,scene-bvh,0,4.1e-05,4.1999999999999998e-05
50,120,scene-bvh,5,0.0018749999999999999,0.002875
50,120,scene-bvh,9,0.0045625000000000006,0.0076443999999999792
50,120,scene-bvh,17,0.010229,0.04743299999999992
50,120,scene-bvh,33,0.0197915,0.096366699999999958
50,120,scene-bvh,65,0.037499999999999999,0.069997899999999919
50,120,scene-bvh,129,0.085333500000000007,0.22512114999999963
50,120,scene-bvh,257,0.16147899999999998,0.41296840000000001
50,120,scene-bvh,361,0.22629199999999999,0.53091460000000001
100,120,true-brute,0,4.1499999999999999e-05,4.1999999999999998e-05
100,120,true-brute,5,0.2547085,0.43415269999999989
100,120,true-brute,9,0.47602100000000003,0.8414225999999998
100,120,true-brute,17,0.88645850000000004,3.7021517999999838
100,120,true-brute,33,1.9219585000000001,5.9798127999999888
100,120,true-brute,65,3.3835835000000003,9.8020854499999963
100,120,true-brute,129,5.7401664999999999,7.849312499999999
100,120,true-brute,257,10.114437499999999,11.944680949999997
100,120,true-brute,361,16.024104000000001,23.492808649999976
100,120,mesh-bvh,0,4.1e-05,4.1999999999999998e-05
100,120,mesh-bvh,5,0.006417,0.015801799999999967
100,120,mesh-bvh,9,0.015395499999999999,0.53804584999999983
100,120,mesh-bvh,17,0.024458000000000001,0.049261049999999987
100,120,mesh-bvh,33,0.056396500000000002,0.15836664999999964
100,120,mesh-bvh,65,0.111041,0.2127350999999999
100,120,mesh-bvh,129,0.21145799999999998,0.39806184999999994
100,120,mesh-bvh,257,0.42995850000000002,0.73200144999999972
100,120,mesh-bvh,361,0.6474375,1.0293047999999998
100,120,scene-bvh,0,4.1e-05,4.1999999999999998e-05
100,120,scene-bvh,5,0.0020835000000000003,0.0036690499999999992
100,120,scene-bvh,9,0.0050000000000000001,0.0068791499999999988
100,120,scene-bvh,17,0.010625000000000001,0.016160399999999988
100,120,scene-bvh,33,0.021104499999999998,0.025768749999999993
100,120,scene-bvh,65,0.039729500000000001,0.0486375
100,120,scene-bvh,129,0.121667,1.7922520999999978
100,120,scene-bvh,257,0.197771,0.43382294999999982
100,120,scene-bvh,361,0.28612550000000003,0.50116104999999955
200,120,true-brute,0,4.1e-05,4.1999999999999998e-05
200,120,true-brute,5,0.415771,0.57041104999999992
200,120,true-brute,9,0.82345850000000009,1.4433315499999995
200,120,true-brute,17,1.546125,2.3268371999999986
200,120,true-brute,33,3.5688960000000001,9.1764214499999941
200,120,true-brute,65,7.8326460000000004,19.831420849999979
200,120,true-brute,129,15.1950205,26.218668749999996
200,120,true-brute,257,25.862208500000001,40.807462799999968
200,120,true-brute,361,45.922020500000002,89.267456599999988
200,120,mesh-bvh,0,4.1e-05,4.1999999999999998e-05
200,120,mesh-bvh,5,0.021000000000000001,0.02750205
200,120,mesh-bvh,9,0.040292000000000001,0.097141999999999923
200,120,mesh-bvh,17,0.083291000000000004,0.19838184999999986
200,120,mesh-bvh,33,0.1663955,0.27863474999999988
200,120,mesh-bvh,65,0.32458350000000002,0.62588749999999926
200,120,mesh-bvh,129,0.75310450000000007,2.4006124999999998
200,120,mesh-bvh,257,1.3979170000000001,2.4921877999999995
200,120,mesh-bvh,361,2.0146040000000003,3.9806458
200,120,scene-bvh,0,4.1999999999999998e-05,4.1999999999999998e-05
200,120,scene-bvh,5,0.002833,0.0052500000000000003
200,120,scene-bvh,9,0.0061669999999999997,0.0093329999999999993
200,120,scene-bvh,17,0.014042000000000001,0.02029825
200,120,scene-bvh,33,0.029458999999999999,0.080666699999999952
200,120,scene-bvh,65,0.057375000000000002,0.17722774999999999
200,120,scene-bvh,129,0.12060399999999999,0.48407084999999972
200,120,scene-bvh,257,0.22800000000000001,0.95170034999999886
200,120,scene-bvh,361,0.39356199999999997,1.4527999999999996
400,120,true-brute,0,4.1999999999999998e-05,4.1999999999999998e-05
400,120,true-brute,5,2.389958,12.837174999999993
400,120,true-brute,9,5.2424369999999998,16.107445499999979
400,120,true-brute,17,8.3626664999999996,15.369274649999999
400,120,true-brute,33,15.7919375,26.436493449999979
400,120,true-brute,65,33.114333500000001,50.166055599999986
400,120,true-brute,129,68.791208499999996,143.88964789999997
400,120,true-brute,257,138.637,288.67993815
400,120,true-brute,361,187.30874999999997,322.68516814999998
400,120,mesh-bvh,0,4.1999999999999998e-05,4.1999999999999998e-05
400,120,mesh-bvh,5,0.0622915,0.10344554999999975
400,120,mesh-bvh,9,0.12631249999999999,0.28394614999999995
400,120,mesh-bvh,17,0.242979,0.51979969999999986
400,120,mesh-bvh,33,0.49387449999999999,1.2148457999999998
400,120,mesh-bvh,65,1.1166874999999998,4.6902142999999983
400,120,mesh-bvh,129,2.2768329999999999,5.0002249999999995
400,120,mesh-bvh,257,4.4572915000000002,8.7798409999999958
400,120,mesh-bvh,361,6.5245625,15.850571149999997
400,120,scene-bvh,0,4.1e-05,4.1999999999999998e-05
400,120,scene-bvh,5,0.0030834999999999999,0.0053401999999999981
400,120,scene-bvh,9,0.0068329999999999997,0.01104105
400,120,scene-bvh,17,0.0139165,0.02973094999999995
400,120,scene-bvh,33,0.032417000000000001,0.049641649999999996
400,120,scene-bvh,65,0.064083000000000001,0.28033989999999986
400,120,scene-bvh,129,0.1149165,0.25907914999999898
400,120,scene-bvh,257,0.2245625,0.43028189999999955
400,120,scene-bvh,361,0.35881249999999998,0.97008059999999829
