source,status,speed_mps,mode,ray_count,metric,estimate,n_scenarios,n_measured,adverse
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,0,collision_speed,2.0,960,960,True
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,0,undetected_collision_rate,1.0,960,960,True
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,5,collision_speed,1.3104166666666666,960,960,True
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,5,undetected_collision_rate,0.6552083333333333,960,960,True
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,9,collision_speed,0.933640927869195,960,960,True
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,9,undetected_collision_rate,0.2552083333333333,960,960,True
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,17,collision_speed,0.15447042266348482,960,960,True
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,17,undetected_collision_rate,0.0,960,960,False
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,33,collision_speed,0.0,960,960,False
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,33,undetected_collision_rate,0.0,960,960,False
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,65,collision_speed,0.0,960,960,False
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,65,undetected_collision_rate,0.0,960,960,False
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,129,collision_speed,0.0,960,960,False
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,129,undetected_collision_rate,0.0,960,960,False
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,257,collision_speed,0.0,960,960,False
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,257,undetected_collision_rate,0.0,960,960,False
fixed_ray_summary,observed_collision_speed,2.0,mesh-bvh,361,collision_speed,0.0,960,960,False
fixed_ray_summary,observed_undetected_collision_rate,2.0,mesh-bvh,361,undetected_collision_rate,0.0,960,960,False
fixed_ray_summary,observed_collision_speed,2.0,scene-bvh,0,collision_speed,2.0,960,960,True
fixed_ray_summary,observed_undetected_collision_rate,2.0,scene-bvh,0,undetected_collision_rate,1.0,960,960,True
