speed_mps,timing_complexity,object_count,triangles_per_mesh,budget_ms,budget_kind,transition,from_mode,to_mode,from_ray_count,to_ray_count,ray_count_gain,from_safe_stop_rate,to_safe_stop_rate,safe_stop_rate_gain,ci_low,ci_high,n_paired
2.0,1x,100,120,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,361,352,0.4010416666666667,1.0,0.5989583333333334,0.5687239583333333,0.6322916666666667,960
2.0,1x,100,120,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
2.0,1x,100,120,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,361,344,0.8666666666666667,1.0,0.13333333333333333,0.11041666666666666,0.15627604166666664,960
2.0,1x,100,120,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
2.0,1x,100,120,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,361,344,0.8666666666666667,1.0,0.13333333333333333,0.11041666666666666,0.15627604166666664,960
2.0,1x,100,120,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
2.0,1x,100,120,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,361,232,1.0,1.0,0.0,0.0,0.0,960
2.0,1x,100,120,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
2.0,1x,100,120,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,361,232,1.0,1.0,0.0,0.0,0.0,960
2.0,1x,100,120,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
2.0,1x,100,120,11.910703750000001,measured_110pct_slowest_361_p95,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
2.0,1x,100,120,11.910703750000001,measured_110pct_slowest_361_p95,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,361,352,0.34479166666666666,1.0,0.6552083333333333,0.6260156250000001,0.6844010416666666,960
3.0,1x,100,120,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,361,344,0.615625,1.0,0.384375,0.35208333333333336,0.41877604166666665,960
3.0,1x,100,120,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,361,344,0.615625,1.0,0.384375,0.35208333333333336,0.41877604166666665,960
3.0,1x,100,120,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,361,232,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,361,232,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,11.910703750000001,measured_110pct_slowest_361_p95,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
3.0,1x,100,120,11.910703750000001,measured_110pct_slowest_361_p95,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,361,352,0.34479166666666666,1.0,0.6552083333333333,0.6260156250000001,0.6844010416666666,960
4.0,1x,100,120,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,361,344,0.34479166666666666,1.0,0.6552083333333333,0.6260156250000001,0.6844010416666666,960
4.0,1x,100,120,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,361,344,0.34479166666666666,1.0,0.6552083333333333,0.6260156250000001,0.6844010416666666,960
4.0,1x,100,120,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,361,232,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,129,361,232,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,11.910703750000001,measured_110pct_slowest_361_p95,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
4.0,1x,100,120,11.910703750000001,measured_110pct_slowest_361_p95,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,361,0,1.0,1.0,0.0,0.0,0.0,960
