timing_complexity,object_count,triangles_per_mesh,mode,budget_ms,budget_kind,ray_count,selected_p95_ms,convergence_source,speed_mps,safe_stop_rate
1x,100,120,true-brute,0.5,standard,9,0.3259125,,2.0,0.4010416666666667
1x,100,120,true-brute,1.0,standard,17,0.56846635,,2.0,0.8666666666666667
1x,100,120,true-brute,2.0,standard,17,0.56846635,,2.0,0.8666666666666667
1x,100,120,true-brute,5.0,standard,129,4.8227309499999995,,2.0,1.0
1x,100,120,true-brute,8.0,standard,129,4.8227309499999995,,2.0,1.0
1x,100,120,true-brute,11.910703750000001,measured_110pct_slowest_361_p95,361,10.8279125,measured_110pct_slowest_361_p95,2.0,1.0
1x,100,120,mesh-bvh,0.5,standard,361,0.39406009999999986,,2.0,1.0
1x,100,120,mesh-bvh,1.0,standard,361,0.39406009999999986,,2.0,1.0
1x,100,120,mesh-bvh,2.0,standard,361,0.39406009999999986,,2.0,1.0
1x,100,120,mesh-bvh,5.0,standard,361,0.39406009999999986,,2.0,1.0
1x,100,120,mesh-bvh,8.0,standard,361,0.39406009999999986,,2.0,1.0
1x,100,120,mesh-bvh,11.910703750000001,measured_110pct_slowest_361_p95,361,0.39406009999999986,measured_110pct_slowest_361_p95,2.0,1.0
1x,100,120,scene-bvh,0.5,standard,361,0.1542173,,2.0,1.0
1x,100,120,scene-bvh,1.0,standard,361,0.1542173,,2.0,1.0
1x,100,120,scene-bvh,2.0,standard,361,0.1542173,,2.0,1.0
1x,100,120,scene-bvh,5.0,standard,361,0.1542173,,2.0,1.0
1x,100,120,scene-bvh,8.0,standard,361,0.1542173,,2.0,1.0
1x,100,120,scene-bvh,11.910703750000001,measured_110pct_slowest_361_p95,361,0.1542173,measured_110pct_slowest_361_p95,2.0,1.0
1x,100,120,true-brute,0.5,standard,9,0.3259125,,3.0,0.34479166666666666
1x,100,120,true-brute,1.0,standard,17,0.56846635,,3.0,0.615625
1x,100,120,true-brute,2.0,standard,17,0.56846635,,3.0,0.615625
1x,100,120,true-brute,5.0,standard,129,4.8227309499999995,,3.0,1.0
1x,100,120,true-brute,8.0,standard,129,4.8227309499999995,,3.0,1.0
1x,100,120,true-brute,11.910703750000001,measured_110pct_slowest_361_p95,361,10.8279125,measured_110pct_slowest_361_p95,3.0,1.0
1x,100,120,mesh-bvh,0.5,standard,361,0.39406009999999986,,3.0,1.0
1x,100,120,mesh-bvh,1.0,standard,361,0.39406009999999986,,3.0,1.0
1x,100,120,mesh-bvh,2.0,standard,361,0.39406009999999986,,3.0,1.0
1x,100,120,mesh-bvh,5.0,standard,361,0.39406009999999986,,3.0,1.0
1x,100,120,mesh-bvh,8.0,standard,361,0.39406009999999986,,3.0,1.0
1x,100,120,mesh-bvh,11.910703750000001,measured_110pct_slowest_361_p95,361,0.39406009999999986,measured_110pct_slowest_361_p95,3.0,1.0
1x,100,120,scene-bvh,0.5,standard,361,0.1542173,,3.0,1.0
1x,100,120,scene-bvh,1.0,standard,361,0.1542173,,3.0,1.0
1x,100,120,scene-bvh,2.0,standard,361,0.1542173,,3.0,1.0
1x,100,120,scene-bvh,5.0,standard,361,0.1542173,,3.0,1.0
1x,100,120,scene-bvh,8.0,standard,361,0.1542173,,3.0,1.0
1x,100,120,scene-bvh,11.910703750000001,measured_110pct_slowest_361_p95,361,0.1542173,measured_110pct_slowest_361_p95,3.0,1.0
1x,100,120,true-brute,0.5,standard,9,0.3259125,,4.0,0.34479166666666666
1x,100,120,true-brute,1.0,standard,17,0.56846635,,4.0,0.34479166666666666
1x,100,120,true-brute,2.0,standard,17,0.56846635,,4.0,0.34479166666666666
1x,100,120,true-brute,5.0,standard,129,4.8227309499999995,,4.0,1.0
1x,100,120,true-brute,8.0,standard,129,4.8227309499999995,,4.0,1.0
1x,100,120,true-brute,11.910703750000001,measured_110pct_slowest_361_p95,361,10.8279125,measured_110pct_slowest_361_p95,4.0,1.0
1x,100,120,mesh-bvh,0.5,standard,361,0.39406009999999986,,4.0,1.0
1x,100,120,mesh-bvh,1.0,standard,361,0.39406009999999986,,4.0,1.0
1x,100,120,mesh-bvh,2.0,standard,361,0.39406009999999986,,4.0,1.0
1x,100,120,mesh-bvh,5.0,standard,361,0.39406009999999986,,4.0,1.0
1x,100,120,mesh-bvh,8.0,standard,361,0.39406009999999986,,4.0,1.0
1x,100,120,mesh-bvh,11.910703750000001,measured_110pct_slowest_361_p95,361,0.39406009999999986,measured_110pct_slowest_361_p95,4.0,1.0
1x,100,120,scene-bvh,0.5,standard,361,0.1542173,,4.0,1.0
1x,100,120,scene-bvh,1.0,standard,361,0.1542173,,4.0,1.0
1x,100,120,scene-bvh,2.0,standard,361,0.1542173,,4.0,1.0
1x,100,120,scene-bvh,5.0,standard,361,0.1542173,,4.0,1.0
1x,100,120,scene-bvh,8.0,standard,361,0.1542173,,4.0,1.0
1x,100,120,scene-bvh,11.910703750000001,measured_110pct_slowest_361_p95,361,0.1542173,measured_110pct_slowest_361_p95,4.0,1.0
