complexity,triangles_per_mesh,mode,ray_count,median_ms,p95_ms
1x,120,true-brute,0,0,4.1999999999999998e-05
1x,120,true-brute,5,0.15085399999999999,0.17183720000000002
1x,120,true-brute,9,0.27124999999999999,0.32591249999999999
1x,120,true-brute,17,0.50927049999999996,0.56846635000000001
1x,120,true-brute,33,1.0018539999999998,3.9152669999999992
1x,120,true-brute,65,2.1373955000000002,5.3578499999999964
1x,120,true-brute,129,3.8453119999999998,4.8227309499999995
1x,120,true-brute,257,7.5417085000000004,8.4653735499999989
1x,120,true-brute,361,10.4486665,10.8279125
1x,120,mesh-bvh,0,0,4.1999999999999998e-05
1x,120,mesh-bvh,5,0.0040419999999999996,0.0060041999999999986
1x,120,mesh-bvh,9,0.0075830000000000003,0.0088749999999999992
1x,120,mesh-bvh,17,0.014937499999999999,0.018127049999999999
1x,120,mesh-bvh,33,0.029499999999999998,0.035171149999999998
1x,120,mesh-bvh,65,0.059333499999999997,0.070640199999999972
1x,120,mesh-bvh,129,0.11670800000000001,0.13758510000000002
1x,120,mesh-bvh,257,0.22704150000000001,0.26469374999999995
1x,120,mesh-bvh,361,0.33706250000000004,0.39406009999999986
1x,120,scene-bvh,0,0,4.1999999999999998e-05
1x,120,scene-bvh,5,0.00125,0.0020041499999999988
1x,120,scene-bvh,9,0.0027499999999999998,0.0037940499999999989
1x,120,scene-bvh,17,0.0057499999999999999,0.007417
1x,120,scene-bvh,33,0.0116045,0.014250000000000001
1x,120,scene-bvh,65,0.0230625,0.027821149999999992
1x,120,scene-bvh,129,0.046146,0.055755949999999985
1x,120,scene-bvh,257,0.090249499999999996,0.11043784999999999
1x,120,scene-bvh,361,0.12872899999999998,0.1542173
4x,480,true-brute,0,0,4.1999999999999998e-05
4x,480,true-brute,5,0.59083299999999994,0.66053539999999999
4x,480,true-brute,9,1.0428540000000002,1.07804615
4x,480,true-brute,17,1.9955414999999999,2.0630836500000003
4x,480,true-brute,33,3.8513539999999997,3.9951211499999997
4x,480,true-brute,65,7.6738125000000004,8.6573142499999989
4x,480,true-brute,129,15.17075,16.903331899999987
4x,480,true-brute,257,30.048396,31.512281549999997
4x,480,true-brute,361,42.024042000000001,44.018624399999993
4x,480,mesh-bvh,0,0,4.1999999999999998e-05
4x,480,mesh-bvh,5,0.0043750000000000004,0.0054999999999999997
4x,480,mesh-bvh,9,0.0088955000000000006,0.011637499999999995
4x,480,mesh-bvh,17,0.016812500000000001,0.022070199999999991
4x,480,mesh-bvh,33,0.033479000000000002,0.039296150000000002
4x,480,mesh-bvh,65,0.065812499999999996,0.080883649999999974
4x,480,mesh-bvh,129,0.13150000000000001,0.15516459999999999
4x,480,mesh-bvh,257,0.26093750000000004,0.30593989999999999
4x,480,mesh-bvh,361,0.377021,0.42663544999999997
4x,480,scene-bvh,0,0,4.1999999999999998e-05
4x,480,scene-bvh,5,0.0013339999999999999,0.0019610499999999989
4x,480,scene-bvh,9,0.0031250000000000002,0.0041690499999999988
4x,480,scene-bvh,17,0.0064999999999999997,0.0086270500000000007
4x,480,scene-bvh,33,0.013021,0.01546105
4x,480,scene-bvh,65,0.025541999999999999,0.031337199999999996
4x,480,scene-bvh,129,0.051353500000000003,0.061893749999999949
4x,480,scene-bvh,257,0.099166500000000005,0.11738955
4x,480,scene-bvh,361,0.14264549999999998,0.16782709999999998
16x,1920,true-brute,0,0,4.1999999999999998e-05
16x,1920,true-brute,5,2.6666249999999998,3.6419249999999996
16x,1920,true-brute,9,5.0432085000000004,7.7459398999999838
16x,1920,true-brute,17,8.877479000000001,10.987091999999997
16x,1920,true-brute,33,17.413708499999998,20.598775349999993
16x,1920,true-brute,65,30.462729500000002,37.640047599999995
16x,1920,true-brute,129,60.562145999999998,62.694835399999995
16x,1920,true-brute,257,120.6386045,125.61567114999998
16x,1920,true-brute,361,169.90822900000001,185.84422739999999
16x,1920,mesh-bvh,0,4.1e-05,4.1999999999999998e-05
16x,1920,mesh-bvh,5,0.0049375,0.0063812499999999972
16x,1920,mesh-bvh,9,0.0098744999999999996,0.0128351
16x,1920,mesh-bvh,17,0.0192915,0.023131249999999999
16x,1920,mesh-bvh,33,0.0396455,0.049955949999999957
16x,1920,mesh-bvh,65,0.078187499999999993,0.091093149999999984
16x,1920,mesh-bvh,129,0.15810399999999999,0.18939794999999998
16x,1920,mesh-bvh,257,0.30539550000000004,0.3591291499999999
16x,1920,mesh-bvh,361,0.44402050000000004,0.50803540000000003
16x,1920,scene-bvh,0,0,4.1999999999999998e-05
16x,1920,scene-bvh,5,0.0015,0.002296149999999999
16x,1920,scene-bvh,9,0.0035624999999999997,0.0046660499999999997
16x,1920,scene-bvh,17,0.0076249999999999998,0.01091905
16x,1920,scene-bvh,33,0.0153545,0.018342299999999995
16x,1920,scene-bvh,65,0.029957999999999999,0.037051449999999993
16x,1920,scene-bvh,129,0.060020499999999997,0.072385399999999989
16x,1920,scene-bvh,257,0.1151665,0.13864019999999999
16x,1920,scene-bvh,361,0.16587499999999999,0.19985595
