mode,scenario_id,ray_count,control,outcome,detected,detection_range,unbraked_ttc,stopping_margin,collision_speed,hit_flags_equal,object_ids_equal,ranges_equal
true-brute,0,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,0,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,0,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,0,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,0,9,fixed_scan,Collision,true,0.7595637762959393,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
scene-bvh,0,9,fixed_scan,Collision,true,0.7595637762959393,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
true-brute,0,17,fixed_scan,Collision,true,1.64898133001981,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
scene-bvh,0,17,fixed_scan,Collision,true,1.64898133001981,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
true-brute,0,33,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
scene-bvh,0,33,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
true-brute,0,65,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
scene-bvh,0,65,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
true-brute,0,129,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
scene-bvh,0,129,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
true-brute,0,257,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
scene-bvh,0,257,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
true-brute,0,361,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
scene-bvh,0,361,fixed_scan,SafeStop,true,2.6183431094732375,0.66666666666666663,0.875,0,true,true,true
true-brute,0,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
scene-bvh,0,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
true-brute,1,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,1,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,1,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,1,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,1,9,fixed_scan,Collision,true,0.75950356802867081,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
scene-bvh,1,9,fixed_scan,Collision,true,0.75950356802867081,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
true-brute,1,17,fixed_scan,Collision,true,1.6482985294169359,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
scene-bvh,1,17,fixed_scan,Collision,true,1.6482985294169359,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
true-brute,1,33,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
scene-bvh,1,33,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
true-brute,1,65,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
scene-bvh,1,65,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
true-brute,1,129,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
scene-bvh,1,129,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
true-brute,1,257,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
scene-bvh,1,257,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
true-brute,1,361,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
scene-bvh,1,361,fixed_scan,SafeStop,true,2.6185083040177264,0.66666666666666663,0.875,0,true,true,true
true-brute,1,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
scene-bvh,1,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
true-brute,2,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,2,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,2,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,2,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,2,9,fixed_scan,Collision,true,0.75944342546818533,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
scene-bvh,2,9,fixed_scan,Collision,true,0.75944342546818533,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
true-brute,2,17,fixed_scan,Collision,true,1.6476164158442665,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
scene-bvh,2,17,fixed_scan,Collision,true,1.6476164158442665,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
true-brute,2,33,fixed_scan,SafeStop,true,2.6186737130923827,0.66666666666666663,0.875,0,true,true,true
scene-bvh,2,33,fixed_scan,SafeStop,true,2.6186737130923827,0.66666666666666663,0.875,0,true,true,true
true-brute,2,65,fixed_scan,SafeStop,true,2.6186737130923827,0.66666666666666663,0.875,0,true,true,true
scene-bvh,2,65,fixed_scan,SafeStop,true,2.6186737130923827,0.66666666666666663,0.875,0,true,true,true
true-brute,2,129,fixed_scan,SafeStop,true,2.6186737130923827,0.66666666666666663,0.875,0,true,true,true
scene-bvh,2,129,fixed_scan,SafeStop,true,2.6186737130923827,0.66666666666666663,0.875,0,true,true,true
true-brute,2,257,fixed_scan,SafeStop,true,2.6186737130923827,0.66666666666666663,0.875,0,true,true,true
scene-bvh,2,257,fixed_scan,SafeStop,true,2.6186737130923827,0.66666666666666663,0.875,0,true,true,true
true-brute,2,361,fixed_scan,SafeStop,true,2.6185041470126036,0.66666666666666663,0.875,0,true,true,true
scene-bvh,2,361,fixed_scan,SafeStop,true,2.6185041470126036,0.66666666666666663,0.875,0,true,true,true
true-brute,2,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
scene-bvh,2,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
true-brute,3,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,3,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,3,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,3,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,3,9,fixed_scan,Collision,true,0.75938334858997991,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
scene-bvh,3,9,fixed_scan,Collision,true,0.75938334858997991,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
true-brute,3,17,fixed_scan,Collision,true,1.646934988348383,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
scene-bvh,3,17,fixed_scan,Collision,true,1.646934988348383,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
true-brute,3,33,fixed_scan,SafeStop,true,2.6188393367623313,0.66666666666666663,0.875,0,true,true,true
scene-bvh,3,33,fixed_scan,SafeStop,true,2.6188393367623313,0.66666666666666663,0.875,0,true,true,true
true-brute,3,65,fixed_scan,SafeStop,true,2.6188393367623313,0.66666666666666663,0.875,0,true,true,true
scene-bvh,3,65,fixed_scan,SafeStop,true,2.6188393367623313,0.66666666666666663,0.875,0,true,true,true
true-brute,3,129,fixed_scan,SafeStop,true,2.6188393367623313,0.66666666666666663,0.875,0,true,true,true
scene-bvh,3,129,fixed_scan,SafeStop,true,2.6188393367623313,0.66666666666666663,0.875,0,true,true,true
true-brute,3,257,fixed_scan,SafeStop,true,2.6188393367623313,0.66666666666666663,0.875,0,true,true,true
scene-bvh,3,257,fixed_scan,SafeStop,true,2.6188393367623313,0.66666666666666663,0.875,0,true,true,true
true-brute,3,361,fixed_scan,SafeStop,true,2.6183381654158207,0.66666666666666663,0.875,0,true,true,true
scene-bvh,3,361,fixed_scan,SafeStop,true,2.6183381654158207,0.66666666666666663,0.875,0,true,true,true
true-brute,3,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
scene-bvh,3,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
true-brute,4,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,4,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,4,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,4,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,4,9,fixed_scan,Collision,true,0.75932333736958291,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
scene-bvh,4,9,fixed_scan,Collision,true,0.75932333736958291,0.033333333333333215,-1.0250000000000004,2.8635642126552714,true,true,true
true-brute,4,17,fixed_scan,Collision,true,1.6462542459776548,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
scene-bvh,4,17,fixed_scan,Collision,true,1.6462542459776548,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
true-brute,4,33,fixed_scan,SafeStop,true,2.6190051750927941,0.66666666666666663,0.875,0,true,true,true
scene-bvh,4,33,fixed_scan,SafeStop,true,2.6190051750927941,0.66666666666666663,0.875,0,true,true,true
true-brute,4,65,fixed_scan,SafeStop,true,2.6190051750927941,0.66666666666666663,0.875,0,true,true,true
scene-bvh,4,65,fixed_scan,SafeStop,true,2.6190051750927941,0.66666666666666663,0.875,0,true,true,true
true-brute,4,129,fixed_scan,SafeStop,true,2.6190051750927941,0.66666666666666663,0.875,0,true,true,true
scene-bvh,4,129,fixed_scan,SafeStop,true,2.6190051750927941,0.66666666666666663,0.875,0,true,true,true
true-brute,4,257,fixed_scan,SafeStop,true,2.6190051750927941,0.66666666666666663,0.875,0,true,true,true
scene-bvh,4,257,fixed_scan,SafeStop,true,2.6190051750927941,0.66666666666666663,0.875,0,true,true,true
true-brute,4,361,fixed_scan,SafeStop,true,2.6181723984827898,0.66666666666666663,0.875,0,true,true,true
scene-bvh,4,361,fixed_scan,SafeStop,true,2.6181723984827898,0.66666666666666663,0.875,0,true,true,true
true-brute,4,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
scene-bvh,4,361,first_frame_braking,SafeStop,true,2.6169270706189174,0.66666666666666663,0.875,0,true,true,true
true-brute,5,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,5,0,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,5,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
scene-bvh,5,5,fixed_scan,Collision,false,-1,-1,-1,3,true,true,true
true-brute,5,9,fixed_scan,Collision,true,0.89672858367458375,0.066666666666666582,-0.92500000000000027,2.7202941017470894,true,true,true
scene-bvh,5,9,fixed_scan,Collision,true,0.89672858367458375,0.066666666666666582,-0.92500000000000027,2.7202941017470894,true,true,true
true-brute,5,17,fixed_scan,Collision,true,1.6455741877822359,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
scene-bvh,5,17,fixed_scan,Collision,true,1.6455741877822359,0.33333333333333343,-0.12499999999999978,0.99999999999999956,true,true,true
true-brute,5,33,fixed_scan,SafeStop,true,2.6191712281490864,0.66666666666666663,0.875,0,true,true,true
scene-bvh,5,33,fixed_scan,SafeStop,true,2.6191712281490864,0.66666666666666663,0.875,0,true,true,true
true-brute,5,65,fixed_scan,SafeStop,true,2.6191712281490864,0.66666666666666663,0.875,0,true,true,true
scene-bvh,5,65,fixed_scan,SafeStop,true,2.6191712281490864,0.66666666666666663,0.875,0,true,true,true
