mode,budget_ms,speed,coll_per_100m_mean,coll_per_100m_std,n_seeds,success_pct,success_ci_low_pct,success_ci_high_pct,success_delta_pp,success_delta_ci_low_pp,success_delta_ci_high_pp,reach_frac,wall_contact_frac,avg_progress,mean_first_collision_distance,first_collision_n,predicted_k,avg_k,min_k,max_k,k_delta,avg_in_view,cost_ns_per_ray,avg_scan_ms,mean_run_p95_ms,deadline_cutoff_pct,execution_overrun_pct,mean_overrun_ms,max_overrun_ms
true-brute,0.50,3.5,1.9817,2.8041,32,0.00,0.00,0.00,0.00,0.00,0.00,0,3,0.191719,17.263077,13,4.7,4.9,0,6,0.2,31.6,96266.8,0.5315,0.5627,100.000,99.984,0.031468,2.155584
scene-bvh,0.50,3.5,0.4935,0.9662,32,15.62,3.12,28.12,15.62,3.12,28.12,31,0,0.595651,36.429565,10,361.0,361.0,187,361,-0.0,31.1,327.4,0.0921,0.1109,0.015,0.015,0.173150,0.412208
true-brute,1.00,3.5,6.8980,4.8359,32,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.385799,14.985238,28,10.0,10.6,0,12,0.6,32.9,96266.8,1.0546,1.0905,100.000,99.963,0.054654,37.559834
scene-bvh,1.00,3.5,0.4935,0.9662,32,15.62,3.12,28.12,15.62,3.12,28.12,31,0,0.595673,36.429595,10,361.0,360.9,7,361,-0.1,31.1,327.4,0.0992,0.1330,0.099,0.099,1.197197,8.355083
true-brute,1.50,3.5,5.1860,3.8420,32,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.449361,19.800256,26,15.2,14.9,0,18,-0.4,33.0,96266.8,1.5648,1.6039,100.000,99.923,0.064893,42.833791
scene-bvh,1.50,3.5,0.4935,0.9662,32,15.62,3.12,28.12,15.62,3.12,28.12,31,0,0.595663,36.429567,10,361.0,361.0,126,361,-0.0,31.1,327.4,0.1073,0.1262,0.003,0.003,0.419375,0.419375
true-brute,2.00,3.5,4.1775,3.0923,32,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.497225,18.894400,25,20.5,18.5,0,24,-2.0,33.1,96266.8,2.0711,2.1259,100.000,99.971,0.071130,90.647500
scene-bvh,2.00,3.5,0.4935,0.9662,32,15.62,3.12,28.12,15.62,3.12,28.12,31,0,0.595651,36.429565,10,361.0,361.0,98,361,-0.0,31.1,327.4,0.1131,0.1391,0.015,0.012,1.060115,2.682833
true-brute,3.00,3.5,3.4609,3.2690,32,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.446796,21.009231,26,30.9,30.3,0,36,-0.7,32.8,96266.8,3.0792,3.1047,100.000,99.952,0.079253,216.313917
scene-bvh,3.00,3.5,0.4935,0.9662,32,15.62,3.12,28.12,15.62,3.12,28.12,31,0,0.595651,36.429565,10,361.0,361.0,361,361,0.0,31.1,327.4,0.0903,0.1079,0.000,0.000,0.000000,0.000000
true-brute,5.00,3.5,2.5327,2.2009,32,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.497645,26.584907,24,51.9,52.6,0,61,0.7,33.1,96266.8,5.1364,5.2203,100.000,99.951,0.136462,354.345875
scene-bvh,5.00,3.5,0.4935,0.9662,32,15.62,3.12,28.12,15.62,3.12,28.12,31,0,0.595651,36.429565,10,361.0,361.0,361,361,0.0,31.1,327.4,0.1197,0.1732,0.000,0.000,0.000000,0.000000
true-brute,8.00,3.5,0.5611,1.0361,32,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.346903,28.224444,9,83.3,89.0,0,97,5.7,32.5,96266.8,8.0678,8.0875,100.000,99.950,0.067868,59.458917
scene-bvh,8.00,3.5,0.4935,0.9662,32,15.62,3.12,28.12,15.62,3.12,28.12,31,0,0.595651,36.429565,10,361.0,361.0,361,361,0.0,31.1,327.4,0.0905,0.1077,0.000,0.000,0.000000,0.000000
