mode,budget_ms,seed,speed,collision_free_completion,reached_end,wall_contact,progress,distance_to_first_collision,collisions,distance,collisions_per_100m,predicted_k,avg_k,min_k,max_k,execution_overrun_pct
true-brute,0.50,1000,3.5,0,0,0,0.666389,40.073333,3,79.966667,3.751563,5.00,4.986833,1,5,100.000000
true-brute,0.50,1001,3.5,0,0,0,0.022056,-1.000000,0,2.646667,0.000000,4.00,5.000000,5,5,100.000000
true-brute,0.50,1002,3.5,0,0,0,0.251611,11.700000,3,30.193333,9.935968,5.00,4.969055,1,5,100.000000
true-brute,0.50,1003,3.5,0,0,1,0.393051,9.513333,3,47.493333,6.316676,4.00,4.930832,0,5,100.000000
true-brute,0.50,1004,3.5,0,0,0,0.263611,16.873333,1,31.633333,3.161222,4.00,4.967977,0,5,100.000000
true-brute,0.50,1005,3.5,0,0,0,0.044611,-1.000000,0,5.353333,0.000000,5.00,5.000000,5,5,100.000000
true-brute,0.50,1006,3.5,0,0,0,0.102167,-1.000000,0,12.260000,0.000000,4.00,4.978304,1,5,100.000000
true-brute,0.50,1007,3.5,0,0,0,0.162722,7.860000,1,19.526667,5.121202,5.00,4.949968,1,5,100.000000
true-brute,0.50,1008,3.5,0,0,0,0.356056,10.446667,1,42.726667,2.340459,5.00,4.984844,1,5,100.000000
true-brute,0.50,1009,3.5,0,0,0,0.012167,-1.000000,0,1.460000,0.000000,4.00,4.906863,1,6,98.039216
true-brute,0.50,1010,3.5,0,0,0,0.093500,-1.000000,0,11.220000,0.000000,5.00,4.994658,1,5,100.000000
true-brute,0.50,1011,3.5,0,0,0,0.097611,-1.000000,0,11.713333,0.000000,5.00,4.997945,4,5,100.000000
true-brute,0.50,1012,3.5,0,0,0,0.247500,-1.000000,0,29.700000,0.000000,4.00,4.973730,1,5,100.000000
true-brute,0.50,1013,3.5,0,0,0,0.023389,-1.000000,0,2.806667,0.000000,5.00,5.108197,1,6,98.360656
true-brute,0.50,1014,3.5,0,0,0,0.128056,8.420000,1,15.366667,6.507592,5.00,4.967121,0,5,100.000000
