N,mode,build_ms,query_ms,ns_per_ray,rays,mismatches
10,linear-scan,0,0.235764,54.2735,4344,0
10,scene-bvh,0.00275,0.0945833,21.7733,4344,0
25,linear-scan,0,0.499083,114.89,4344,0
25,scene-bvh,0.006333,0.144486,33.261,4344,0
50,linear-scan,0,0.949528,218.584,4344,0
50,scene-bvh,0.016125,0.149222,34.3514,4344,0
100,linear-scan,0,1.88332,433.545,4344,0
100,scene-bvh,0.032958,0.168375,38.7604,4344,0
200,linear-scan,0,3.99526,919.72,4344,0
200,scene-bvh,0.062667,0.2085,47.9972,4344,0
400,linear-scan,0,8.47972,1952.05,4344,0
400,scene-bvh,0.131958,0.239264,55.0792,4344,0
800,linear-scan,0,20.5813,4737.87,4344,0
800,scene-bvh,0.2775,0.296611,68.2806,4344,0
1600,linear-scan,0,59.7951,13765,4344,0
1600,scene-bvh,0.606375,0.347194,79.925,4344,0
3200,linear-scan,0,101.199,23296.3,4344,0
3200,scene-bvh,1.26896,0.452792,104.234,4344,0
